"Time (CET)","Day-ahead Total Load Forecast [MW] - Ireland (IE)","Actual Total Load [MW] - Ireland (IE)"
"13.12.2019 02:00 - 13.12.2019 02:30","3264","3031"
"13.12.2019 02:30 - 13.12.2019 03:00","3053","2941"
"13.12.2019 03:00 - 13.12.2019 03:30","2963","2888"
"13.12.2019 03:30 - 13.12.2019 04:00","2891","2837"
"13.12.2019 04:00 - 13.12.2019 04:30","2834","2812"
"13.12.2019 04:30 - 13.12.2019 05:00","2805","2762"
"13.12.2019 05:00 - 13.12.2019 05:30","2781","2772"
"13.12.2019 05:30 - 13.12.2019 06:00","2780","2754"
"13.12.2019 06:00 - 13.12.2019 06:30","2784","2774"
"13.12.2019 06:30 - 13.12.2019 07:00","2816","2818"
"13.12.2019 07:00 - 13.12.2019 07:30","2919","2982"
"13.12.2019 07:30 - 13.12.2019 08:00","3240","3182"
"13.12.2019 08:00 - 13.12.2019 08:30","3534","3487"
"13.12.2019 08:30 - 13.12.2019 09:00","3932","3933"
"13.12.2019 09:00 - 13.12.2019 09:30","4202","4087"
"13.12.2019 09:30 - 13.12.2019 10:00","4232","4042"
"13.12.2019 10:00 - 13.12.2019 10:30","4238","4049"
"13.12.2019 10:30 - 13.12.2019 11:00","4309","4096"
"13.12.2019 11:00 - 13.12.2019 11:30","4312","4105"
"13.12.2019 11:30 - 13.12.2019 12:00","4314","4103"
"13.12.2019 12:00 - 13.12.2019 12:30","4320","4081"
"13.12.2019 12:30 - 13.12.2019 13:00","4342","4070"
"13.12.2019 13:00 - 13.12.2019 13:30","4334","4065"
"13.12.2019 13:30 - 13.12.2019 14:00","4341","4126"
"13.12.2019 14:00 - 13.12.2019 14:30","4329","4107"
"13.12.2019 14:30 - 13.12.2019 15:00","4277","4089"
"13.12.2019 15:00 - 13.12.2019 15:30","4267","4059"
"13.12.2019 15:30 - 13.12.2019 16:00","4278","4062"
"13.12.2019 16:00 - 13.12.2019 16:30","4289","4117"
"13.12.2019 16:30 - 13.12.2019 17:00","4355","4206"
"13.12.2019 17:00 - 13.12.2019 17:30","4459","4283"
"13.12.2019 17:30 - 13.12.2019 18:00","4721","4515"
"13.12.2019 18:00 - 13.12.2019 18:30","4922","4633"
"13.12.2019 18:30 - 13.12.2019 19:00","4996","4698"
"13.12.2019 19:00 - 13.12.2019 19:30","4992","4692"
"13.12.2019 19:30 - 13.12.2019 20:00","4883","4551"
"13.12.2019 20:00 - 13.12.2019 20:30","4794","4380"
"13.12.2019 20:30 - 13.12.2019 21:00","4715","4293"
"13.12.2019 21:00 - 13.12.2019 21:30","4598","4190"
"13.12.2019 21:30 - 13.12.2019 22:00","4491","4105"
"13.12.2019 22:00 - 13.12.2019 22:30","4368","3975"
"13.12.2019 22:30 - 13.12.2019 23:00","4216","3842"
"13.12.2019 23:00 - 13.12.2019 23:30","4037","3747"
"13.12.2019 23:30 - 14.12.2019 00:00","3906","3580"
"14.12.2019 00:00 - 14.12.2019 00:30","3838","3529"
"14.12.2019 00:30 - 14.12.2019 01:00","3835","3533"
"14.12.2019 01:00 - 14.12.2019 01:30","3642","3345"
"14.12.2019 01:30 - 14.12.2019 02:00","3485","3233"
"14.12.2019 02:00 - 14.12.2019 02:30","3329","3065"
"14.12.2019 02:30 - 14.12.2019 03:00","3188","2989"
"14.12.2019 03:00 - 14.12.2019 03:30","2972","2895"
"14.12.2019 03:30 - 14.12.2019 04:00","2891","2832"
"14.12.2019 04:00 - 14.12.2019 04:30","2832","2751"
"14.12.2019 04:30 - 14.12.2019 05:00","2785","2715"
"14.12.2019 05:00 - 14.12.2019 05:30","2743","2723"
"14.12.2019 05:30 - 14.12.2019 06:00","2700","2723"
"14.12.2019 06:00 - 14.12.2019 06:30","2691","2659"
"14.12.2019 06:30 - 14.12.2019 07:00","2701","2699"
"14.12.2019 07:00 - 14.12.2019 07:30","2735","2740"
"14.12.2019 07:30 - 14.12.2019 08:00","2810","2844"
"14.12.2019 08:00 - 14.12.2019 08:30","2881","2964"
"14.12.2019 08:30 - 14.12.2019 09:00","3024","3140"
"14.12.2019 09:00 - 14.12.2019 09:30","3288","3266"
"14.12.2019 09:30 - 14.12.2019 10:00","3387","3396"
"14.12.2019 10:00 - 14.12.2019 10:30","3574","3534"
"14.12.2019 10:30 - 14.12.2019 11:00","3750","3712"
"14.12.2019 11:00 - 14.12.2019 11:30","3879","3786"
"14.12.2019 11:30 - 14.12.2019 12:00","3958","3883"
"14.12.2019 12:00 - 14.12.2019 12:30","4002","3872"
"14.12.2019 12:30 - 14.12.2019 13:00","4035","3879"
"14.12.2019 13:00 - 14.12.2019 13:30","4056","3872"
"14.12.2019 13:30 - 14.12.2019 14:00","4110","3883"
"14.12.2019 14:00 - 14.12.2019 14:30","4114","3872"
"14.12.2019 14:30 - 14.12.2019 15:00","4060","3895"
"14.12.2019 15:00 - 14.12.2019 15:30","4005","3868"
"14.12.2019 15:30 - 14.12.2019 16:00","3994","3882"
"14.12.2019 16:00 - 14.12.2019 16:30","3987","3873"
"14.12.2019 16:30 - 14.12.2019 17:00","4026","3902"
"14.12.2019 17:00 - 14.12.2019 17:30","4119","3957"
"14.12.2019 17:30 - 14.12.2019 18:00","4400","4170"
"14.12.2019 18:00 - 14.12.2019 18:30","4631","4356"
"14.12.2019 18:30 - 14.12.2019 19:00","4739","4433"
"14.12.2019 19:00 - 14.12.2019 19:30","4720","4415"
"14.12.2019 19:30 - 14.12.2019 20:00","4656","4304"
"14.12.2019 20:00 - 14.12.2019 20:30","4541","4206"
"14.12.2019 20:30 - 14.12.2019 21:00","4404","4104"
"14.12.2019 21:00 - 14.12.2019 21:30","4298","3982"
"14.12.2019 21:30 - 14.12.2019 22:00","4190","3834"
"14.12.2019 22:00 - 14.12.2019 22:30","4073","3787"
"14.12.2019 22:30 - 14.12.2019 23:00","3961","3697"
"14.12.2019 23:00 - 14.12.2019 23:30","3838","3571"
"14.12.2019 23:30 - 15.12.2019 00:00","3722","3439"
"15.12.2019 00:00 - 15.12.2019 00:30","3689","3361"
"15.12.2019 00:30 - 15.12.2019 01:00","3702","3381"
"15.12.2019 01:00 - 15.12.2019 01:30","3553","3291"
"15.12.2019 01:30 - 15.12.2019 02:00","3412","3181"
"15.12.2019 02:00 - 15.12.2019 02:30","3279","3092"
"15.12.2019 02:30 - 15.12.2019 03:00","3040","3002"
"15.12.2019 03:00 - 15.12.2019 03:30","2943","2906"
"15.12.2019 03:30 - 15.12.2019 04:00","2860","2835"
"15.12.2019 04:00 - 15.12.2019 04:30","2792","2794"
"15.12.2019 04:30 - 15.12.2019 05:00","2744","2775"
"15.12.2019 05:00 - 15.12.2019 05:30","2696","2765"
"15.12.2019 05:30 - 15.12.2019 06:00","2669","2761"
"15.12.2019 06:00 - 15.12.2019 06:30","2635","2731"
"15.12.2019 06:30 - 15.12.2019 07:00","2632","2732"
"15.12.2019 07:00 - 15.12.2019 07:30","2624","2744"
"15.12.2019 07:30 - 15.12.2019 08:00","2672","2806"
"15.12.2019 08:00 - 15.12.2019 08:30","2707","2848"
"15.12.2019 08:30 - 15.12.2019 09:00","2772","2931"
"15.12.2019 09:00 - 15.12.2019 09:30","2827","3034"
"15.12.2019 09:30 - 15.12.2019 10:00","2886","3120"
"15.12.2019 10:00 - 15.12.2019 10:30","3000","3230"
"15.12.2019 10:30 - 15.12.2019 11:00","3288","3391"
"15.12.2019 11:00 - 15.12.2019 11:30","3470","3542"
"15.12.2019 11:30 - 15.12.2019 12:00","3607","3669"
"15.12.2019 12:00 - 15.12.2019 12:30","3711","3736"
"15.12.2019 12:30 - 15.12.2019 13:00","3781","3784"
"15.12.2019 13:00 - 15.12.2019 13:30","3846","3793"
"15.12.2019 13:30 - 15.12.2019 14:00","3914","3883"
"15.12.2019 14:00 - 15.12.2019 14:30","3967","3892"
"15.12.2019 14:30 - 15.12.2019 15:00","3941","3883"
"15.12.2019 15:00 - 15.12.2019 15:30","3896","3797"
"15.12.2019 15:30 - 15.12.2019 16:00","3859","3760"
"15.12.2019 16:00 - 15.12.2019 16:30","3827","3734"
"15.12.2019 16:30 - 15.12.2019 17:00","3842","3722"
"15.12.2019 17:00 - 15.12.2019 17:30","3953","3857"
"15.12.2019 17:30 - 15.12.2019 18:00","4205","4099"
"15.12.2019 18:00 - 15.12.2019 18:30","4373","4198"
"15.12.2019 18:30 - 15.12.2019 19:00","4484","4312"
"15.12.2019 19:00 - 15.12.2019 19:30","4514","4303"
"15.12.2019 19:30 - 15.12.2019 20:00","4470","4252"
"15.12.2019 20:00 - 15.12.2019 20:30","4420","4203"
"15.12.2019 20:30 - 15.12.2019 21:00","4341","4168"
"15.12.2019 21:00 - 15.12.2019 21:30","4262","4090"
"15.12.2019 21:30 - 15.12.2019 22:00","4141","4021"
"15.12.2019 22:00 - 15.12.2019 22:30","4045","3906"
"15.12.2019 22:30 - 15.12.2019 23:00","3914","3746"
"15.12.2019 23:00 - 15.12.2019 23:30","3769","3643"
"15.12.2019 23:30 - 16.12.2019 00:00","3652","3443"
"16.12.2019 00:00 - 16.12.2019 00:30","3562","3333"
"16.12.2019 00:30 - 16.12.2019 01:00","3527","3308"
"16.12.2019 01:00 - 16.12.2019 01:30","3387","3201"
"16.12.2019 01:30 - 16.12.2019 02:00","3240","3111"
"16.12.2019 02:00 - 16.12.2019 02:30","2995","2999"
"16.12.2019 02:30 - 16.12.2019 03:00","2871","2889"
"16.12.2019 03:00 - 16.12.2019 03:30","2805","2836"
"16.12.2019 03:30 - 16.12.2019 04:00","2738","2780"
"16.12.2019 04:00 - 16.12.2019 04:30","2700","2709"
"16.12.2019 04:30 - 16.12.2019 05:00","2663","2690"
"16.12.2019 05:00 - 16.12.2019 05:30","2647","2677"
"16.12.2019 05:30 - 16.12.2019 06:00","2641","2678"
"16.12.2019 06:00 - 16.12.2019 06:30","2637","2752"
"16.12.2019 06:30 - 16.12.2019 07:00","2694","2810"
"16.12.2019 07:00 - 16.12.2019 07:30","2803","2946"
"16.12.2019 07:30 - 16.12.2019 08:00","3014","3199"
"16.12.2019 08:00 - 16.12.2019 08:30","3435","3486"
"16.12.2019 08:30 - 16.12.2019 09:00","3848","3836"
"16.12.2019 09:00 - 16.12.2019 09:30","4116","4056"
"16.12.2019 09:30 - 16.12.2019 10:00","4175","4127"
"16.12.2019 10:00 - 16.12.2019 10:30","4214","4136"
"16.12.2019 10:30 - 16.12.2019 11:00","4313","4247"
"16.12.2019 11:00 - 16.12.2019 11:30","4347","4253"
"16.12.2019 11:30 - 16.12.2019 12:00","4370","4252"
"16.12.2019 12:00 - 16.12.2019 12:30","4392","4264"
"16.12.2019 12:30 - 16.12.2019 13:00","4410","4227"
"16.12.2019 13:00 - 16.12.2019 13:30","4439","4204"
"16.12.2019 13:30 - 16.12.2019 14:00","4465","4235"
"16.12.2019 14:00 - 16.12.2019 14:30","4450","4247"
"16.12.2019 14:30 - 16.12.2019 15:00","4389","4168"
"16.12.2019 15:00 - 16.12.2019 15:30","4397","4168"
"16.12.2019 15:30 - 16.12.2019 16:00","4428","4151"
"16.12.2019 16:00 - 16.12.2019 16:30","4467","4185"
"16.12.2019 16:30 - 16.12.2019 17:00","4559","4244"
"16.12.2019 17:00 - 16.12.2019 17:30","4654","4361"
"16.12.2019 17:30 - 16.12.2019 18:00","4917","4618"
"16.12.2019 18:00 - 16.12.2019 18:30","5095","4836"
"16.12.2019 18:30 - 16.12.2019 19:00","5171","4947"
"16.12.2019 19:00 - 16.12.2019 19:30","5166","4908"
"16.12.2019 19:30 - 16.12.2019 20:00","5081","4838"
"16.12.2019 20:00 - 16.12.2019 20:30","5009","4754"
"16.12.2019 20:30 - 16.12.2019 21:00","4908","4652"
"16.12.2019 21:00 - 16.12.2019 21:30","4826","4523"
"16.12.2019 21:30 - 16.12.2019 22:00","4689","4388"
"16.12.2019 22:00 - 16.12.2019 22:30","4600","4298"
"16.12.2019 22:30 - 16.12.2019 23:00","4423","4141"
"16.12.2019 23:00 - 16.12.2019 23:30","4214","3913"
"16.12.2019 23:30 - 17.12.2019 00:00","4009","3672"
"17.12.2019 00:00 - 17.12.2019 00:30","3875","3574"
"17.12.2019 00:30 - 17.12.2019 01:00","3823","3496"
"17.12.2019 01:00 - 17.12.2019 01:30","3568","3371"
"17.12.2019 01:30 - 17.12.2019 02:00","3412","3255"
"17.12.2019 02:00 - 17.12.2019 02:30","3273","3145"
"17.12.2019 02:30 - 17.12.2019 03:00","3040","3048"
"17.12.2019 03:00 - 17.12.2019 03:30","2942","2958"
"17.12.2019 03:30 - 17.12.2019 04:00","2869","2939"
"17.12.2019 04:00 - 17.12.2019 04:30","2815","2880"
"17.12.2019 04:30 - 17.12.2019 05:00","2782","2863"
"17.12.2019 05:00 - 17.12.2019 05:30","2759","2872"
"17.12.2019 05:30 - 17.12.2019 06:00","2748","2886"
"17.12.2019 06:00 - 17.12.2019 06:30","2742","2890"
"17.12.2019 06:30 - 17.12.2019 07:00","2783","2957"
"17.12.2019 07:00 - 17.12.2019 07:30","2887","3098"
"17.12.2019 07:30 - 17.12.2019 08:00","3229","3320"
"17.12.2019 08:00 - 17.12.2019 08:30","3554","3627"
"17.12.2019 08:30 - 17.12.2019 09:00","3949","4005"
"17.12.2019 09:00 - 17.12.2019 09:30","4210","4212"
"17.12.2019 09:30 - 17.12.2019 10:00","4256","4261"
"17.12.2019 10:00 - 17.12.2019 10:30","4271","4298"
"17.12.2019 10:30 - 17.12.2019 11:00","4351","4410"
"17.12.2019 11:00 - 17.12.2019 11:30","4381","4426"
"17.12.2019 11:30 - 17.12.2019 12:00","4377","4412"
"17.12.2019 12:00 - 17.12.2019 12:30","4399","4420"
"17.12.2019 12:30 - 17.12.2019 13:00","4408","4403"
"17.12.2019 13:00 - 17.12.2019 13:30","4440","4392"
"17.12.2019 13:30 - 17.12.2019 14:00","4457","4404"
"17.12.2019 14:00 - 17.12.2019 14:30","4458","4385"
"17.12.2019 14:30 - 17.12.2019 15:00","4377","4319"
"17.12.2019 15:00 - 17.12.2019 15:30","4408","4304"
"17.12.2019 15:30 - 17.12.2019 16:00","4445","4320"
"17.12.2019 16:00 - 17.12.2019 16:30","4506","4333"
"17.12.2019 16:30 - 17.12.2019 17:00","4612","4387"
"17.12.2019 17:00 - 17.12.2019 17:30","4729","4489"
"17.12.2019 17:30 - 17.12.2019 18:00","4996","4751"
"17.12.2019 18:00 - 17.12.2019 18:30","5125","4950"
"17.12.2019 18:30 - 17.12.2019 19:00","5186","5011"
"17.12.2019 19:00 - 17.12.2019 19:30","5194","4978"
"17.12.2019 19:30 - 17.12.2019 20:00","5110","4895"
"17.12.2019 20:00 - 17.12.2019 20:30","5005","4802"
"17.12.2019 20:30 - 17.12.2019 21:00","4945","4700"
"17.12.2019 21:00 - 17.12.2019 21:30","4865","4587"
"17.12.2019 21:30 - 17.12.2019 22:00","4738","4469"
"17.12.2019 22:00 - 17.12.2019 22:30","4617","4347"
"17.12.2019 22:30 - 17.12.2019 23:00","4450","4154"
"17.12.2019 23:00 - 17.12.2019 23:30","4291","3962"
"17.12.2019 23:30 - 18.12.2019 00:00","4081","3751"
"18.12.2019 00:00 - 18.12.2019 00:30","3941","3627"
"18.12.2019 00:30 - 18.12.2019 01:00","3896","3516"
"18.12.2019 01:00 - 18.12.2019 01:30","3641","3343"
"18.12.2019 01:30 - 18.12.2019 02:00","3485","3206"
"18.12.2019 02:00 - 18.12.2019 02:30","3337","3081"
"18.12.2019 02:30 - 18.12.2019 03:00","3208","2982"
"18.12.2019 03:00 - 18.12.2019 03:30","3010","2931"
"18.12.2019 03:30 - 18.12.2019 04:00","2942","2856"
"18.12.2019 04:00 - 18.12.2019 04:30","2884","2791"
"18.12.2019 04:30 - 18.12.2019 05:00","2821","2764"
"18.12.2019 05:00 - 18.12.2019 05:30","2793","2771"
"18.12.2019 05:30 - 18.12.2019 06:00","2782","2723"
"18.12.2019 06:00 - 18.12.2019 06:30","2783","2707"
"18.12.2019 06:30 - 18.12.2019 07:00","2828","2740"
"18.12.2019 07:00 - 18.12.2019 07:30","2918","2949"
"18.12.2019 07:30 - 18.12.2019 08:00","3245","3162"
"18.12.2019 08:00 - 18.12.2019 08:30","3555","3501"
"18.12.2019 08:30 - 18.12.2019 09:00","3973","3851"
"18.12.2019 09:00 - 18.12.2019 09:30","4209","4080"
"18.12.2019 09:30 - 18.12.2019 10:00","4268","4162"
"18.12.2019 10:00 - 18.12.2019 10:30","4270","4183"
"18.12.2019 10:30 - 18.12.2019 11:00","4336","4287"
"18.12.2019 11:00 - 18.12.2019 11:30","4338","4300"
"18.12.2019 11:30 - 18.12.2019 12:00","4351","4328"
"18.12.2019 12:00 - 18.12.2019 12:30","4369","4333"
"18.12.2019 12:30 - 18.12.2019 13:00","4376","4370"
"18.12.2019 13:00 - 18.12.2019 13:30","4399","4342"
"18.12.2019 13:30 - 18.12.2019 14:00","4419","4392"
"18.12.2019 14:00 - 18.12.2019 14:30","4410","4368"
"18.12.2019 14:30 - 18.12.2019 15:00","4340","4328"
"18.12.2019 15:00 - 18.12.2019 15:30","4340","4339"
"18.12.2019 15:30 - 18.12.2019 16:00","4386","4357"
"18.12.2019 16:00 - 18.12.2019 16:30","4424","4399"
"18.12.2019 16:30 - 18.12.2019 17:00","4499","4460"
"18.12.2019 17:00 - 18.12.2019 17:30","4636","4581"
"18.12.2019 17:30 - 18.12.2019 18:00","4897","4770"
"18.12.2019 18:00 - 18.12.2019 18:30","5074","4861"
"18.12.2019 18:30 - 18.12.2019 19:00","5140","4903"
"18.12.2019 19:00 - 18.12.2019 19:30","5125","4850"
"18.12.2019 19:30 - 18.12.2019 20:00","5064","4777"
"18.12.2019 20:00 - 18.12.2019 20:30","4988","4672"
"18.12.2019 20:30 - 18.12.2019 21:00","4887","4558"
"18.12.2019 21:00 - 18.12.2019 21:30","4804","4445"
"18.12.2019 21:30 - 18.12.2019 22:00","4696","4368"
"18.12.2019 22:00 - 18.12.2019 22:30","4594","4305"
"18.12.2019 22:30 - 18.12.2019 23:00","4438","4171"
"18.12.2019 23:00 - 18.12.2019 23:30","4240","4011"
"18.12.2019 23:30 - 19.12.2019 00:00","4040","3734"
"19.12.2019 00:00 - 19.12.2019 00:30","3945","3574"
"19.12.2019 00:30 - 19.12.2019 01:00","3889","3415"
"19.12.2019 01:00 - 19.12.2019 01:30","3623","3269"
"19.12.2019 01:30 - 19.12.2019 02:00","3455","3161"
"19.12.2019 02:00 - 19.12.2019 02:30","3285","3048"
"19.12.2019 02:30 - 19.12.2019 03:00","3195","2981"
"19.12.2019 03:00 - 19.12.2019 03:30","2976","2907"
"19.12.2019 03:30 - 19.12.2019 04:00","2914","2850"
"19.12.2019 04:00 - 19.12.2019 04:30","2867","2809"
"19.12.2019 04:30 - 19.12.2019 05:00","2830","2776"
"19.12.2019 05:00 - 19.12.2019 05:30","2809","2756"
"19.12.2019 05:30 - 19.12.2019 06:00","2789","2753"
"19.12.2019 06:00 - 19.12.2019 06:30","2775","2757"
"19.12.2019 06:30 - 19.12.2019 07:00","2828","2814"
"19.12.2019 07:00 - 19.12.2019 07:30","2910","2976"
"19.12.2019 07:30 - 19.12.2019 08:00","3219","3207"
"19.12.2019 08:00 - 19.12.2019 08:30","3498","3491"
"19.12.2019 08:30 - 19.12.2019 09:00","3891","3831"
"19.12.2019 09:00 - 19.12.2019 09:30","4189","3978"
"19.12.2019 09:30 - 19.12.2019 10:00","4228","3996"
"19.12.2019 10:00 - 19.12.2019 10:30","4189","3977"
"19.12.2019 10:30 - 19.12.2019 11:00","4279","4077"
"19.12.2019 11:00 - 19.12.2019 11:30","4259","4082"
"19.12.2019 11:30 - 19.12.2019 12:00","4250","4077"
"19.12.2019 12:00 - 19.12.2019 12:30","4261","4113"
"19.12.2019 12:30 - 19.12.2019 13:00","4287","4126"
"19.12.2019 13:00 - 19.12.2019 13:30","4316","4111"
"19.12.2019 13:30 - 19.12.2019 14:00","4349","4133"
"19.12.2019 14:00 - 19.12.2019 14:30","4356","4154"
"19.12.2019 14:30 - 19.12.2019 15:00","4276","4149"
"19.12.2019 15:00 - 19.12.2019 15:30","4266","4169"
"19.12.2019 15:30 - 19.12.2019 16:00","4300","4176"
"19.12.2019 16:00 - 19.12.2019 16:30","4345","4240"
"19.12.2019 16:30 - 19.12.2019 17:00","4447","4309"
"19.12.2019 17:00 - 19.12.2019 17:30","4569","4428"
"19.12.2019 17:30 - 19.12.2019 18:00","4835","4572"
"19.12.2019 18:00 - 19.12.2019 18:30","5020","4716"
"19.12.2019 18:30 - 19.12.2019 19:00","5109","4805"
"19.12.2019 19:00 - 19.12.2019 19:30","5082","4757"
"19.12.2019 19:30 - 19.12.2019 20:00","5030","4696"
"19.12.2019 20:00 - 19.12.2019 20:30","4941","4595"
"19.12.2019 20:30 - 19.12.2019 21:00","4843","4511"
"19.12.2019 21:00 - 19.12.2019 21:30","4752","4425"
"19.12.2019 21:30 - 19.12.2019 22:00","4660","4296"
"19.12.2019 22:00 - 19.12.2019 22:30","4571","4198"
"19.12.2019 22:30 - 19.12.2019 23:00","4418","4034"
"19.12.2019 23:00 - 19.12.2019 23:30","4229","3866"
"19.12.2019 23:30 - 20.12.2019 00:00","4044","3710"
"20.12.2019 00:00 - 20.12.2019 00:30","3937","3600"
"20.12.2019 00:30 - 20.12.2019 01:00","3876","3539"
"20.12.2019 01:00 - 20.12.2019 01:30","3620","3377"
"20.12.2019 01:30 - 20.12.2019 02:00","3465","3233"
"20.12.2019 02:00 - 20.12.2019 02:30","3311","3095"
"20.12.2019 02:30 - 20.12.2019 03:00","3190","3002"
"20.12.2019 03:00 - 20.12.2019 03:30","2973","2926"
"20.12.2019 03:30 - 20.12.2019 04:00","2901","2878"
"20.12.2019 04:00 - 20.12.2019 04:30","2835","2837"
"20.12.2019 04:30 - 20.12.2019 05:00","2806","2810"
"20.12.2019 05:00 - 20.12.2019 05:30","2786","2805"
"20.12.2019 05:30 - 20.12.2019 06:00","2757","2807"
"20.12.2019 06:00 - 20.12.2019 06:30","2765","2805"
"20.12.2019 06:30 - 20.12.2019 07:00","2810","2864"
"20.12.2019 07:00 - 20.12.2019 07:30","2916","3020"
"20.12.2019 07:30 - 20.12.2019 08:00","3218","3216"
"20.12.2019 08:00 - 20.12.2019 08:30","3506","3478"
"20.12.2019 08:30 - 20.12.2019 09:00","3890","3809"
"20.12.2019 09:00 - 20.12.2019 09:30","4154","4024"
"20.12.2019 09:30 - 20.12.2019 10:00","4220","4088"
"20.12.2019 10:00 - 20.12.2019 10:30","4213","4101"
"20.12.2019 10:30 - 20.12.2019 11:00","4266","4164"
"20.12.2019 11:00 - 20.12.2019 11:30","4290","4165"
"20.12.2019 11:30 - 20.12.2019 12:00","4286","4161"
"20.12.2019 12:00 - 20.12.2019 12:30","4316","4132"
"20.12.2019 12:30 - 20.12.2019 13:00","4285","4114"
"20.12.2019 13:00 - 20.12.2019 13:30","4298","4054"
"20.12.2019 13:30 - 20.12.2019 14:00","4322","4084"
"20.12.2019 14:00 - 20.12.2019 14:30","4313","4069"
"20.12.2019 14:30 - 20.12.2019 15:00","4249","4027"
"20.12.2019 15:00 - 20.12.2019 15:30","4249","3991"
"20.12.2019 15:30 - 20.12.2019 16:00","4246","3963"
"20.12.2019 16:00 - 20.12.2019 16:30","4259","3958"
"20.12.2019 16:30 - 20.12.2019 17:00","4316","3971"
"20.12.2019 17:00 - 20.12.2019 17:30","4411","4044"
"20.12.2019 17:30 - 20.12.2019 18:00","4661","4246"
"20.12.2019 18:00 - 20.12.2019 18:30","4873","4442"
"20.12.2019 18:30 - 20.12.2019 19:00","4967","4530"
"20.12.2019 19:00 - 20.12.2019 19:30","4965","4507"
"20.12.2019 19:30 - 20.12.2019 20:00","4923","4433"
"20.12.2019 20:00 - 20.12.2019 20:30","4832","4353"
"20.12.2019 20:30 - 20.12.2019 21:00","4716","4261"
"20.12.2019 21:00 - 20.12.2019 21:30","4604","4155"
"20.12.2019 21:30 - 20.12.2019 22:00","4478","4059"
"20.12.2019 22:00 - 20.12.2019 22:30","4386","3961"
"20.12.2019 22:30 - 20.12.2019 23:00","4214","3846"
"20.12.2019 23:00 - 20.12.2019 23:30","4070","3701"
"20.12.2019 23:30 - 21.12.2019 00:00","3945","3583"
"21.12.2019 00:00 - 21.12.2019 00:30","3908","3511"
"21.12.2019 00:30 - 21.12.2019 01:00","3912","3469"
"21.12.2019 01:00 - 21.12.2019 01:30","3703","3320"
"21.12.2019 01:30 - 21.12.2019 02:00","3548","3203"
"21.12.2019 02:00 - 21.12.2019 02:30","3384","3083"
"21.12.2019 02:30 - 21.12.2019 03:00","3246","2984"
"21.12.2019 03:00 - 21.12.2019 03:30","3015","2884"
"21.12.2019 03:30 - 21.12.2019 04:00","2926","2824"
"21.12.2019 04:00 - 21.12.2019 04:30","2864","2753"
"21.12.2019 04:30 - 21.12.2019 05:00","2817","2722"
"21.12.2019 05:00 - 21.12.2019 05:30","2776","2696"
"21.12.2019 05:30 - 21.12.2019 06:00","2753","2674"
"21.12.2019 06:00 - 21.12.2019 06:30","2722","2672"
"21.12.2019 06:30 - 21.12.2019 07:00","2725","2684"
"21.12.2019 07:00 - 21.12.2019 07:30","2730","2726"
"21.12.2019 07:30 - 21.12.2019 08:00","2811","2816"
"21.12.2019 08:00 - 21.12.2019 08:30","2908","2916"
"21.12.2019 08:30 - 21.12.2019 09:00","3032","3066"
"21.12.2019 09:00 - 21.12.2019 09:30","3247","3187"
"21.12.2019 09:30 - 21.12.2019 10:00","3346","3303"
"21.12.2019 10:00 - 21.12.2019 10:30","3512","3437"
"21.12.2019 10:30 - 21.12.2019 11:00","3690","3596"
"21.12.2019 11:00 - 21.12.2019 11:30","3793","3681"
"21.12.2019 11:30 - 21.12.2019 12:00","3862","3775"
"21.12.2019 12:00 - 21.12.2019 12:30","3901","3803"
"21.12.2019 12:30 - 21.12.2019 13:00","3909","3830"
"21.12.2019 13:00 - 21.12.2019 13:30","3922","3862"
"21.12.2019 13:30 - 21.12.2019 14:00","3948","3879"
"21.12.2019 14:00 - 21.12.2019 14:30","3938","3869"
"21.12.2019 14:30 - 21.12.2019 15:00","3915","3828"
"21.12.2019 15:00 - 21.12.2019 15:30","3861","3788"
"21.12.2019 15:30 - 21.12.2019 16:00","3863","3784"
"21.12.2019 16:00 - 21.12.2019 16:30","3855","3785"
"21.12.2019 16:30 - 21.12.2019 17:00","3882","3824"
"21.12.2019 17:00 - 21.12.2019 17:30","3995","3896"
"21.12.2019 17:30 - 21.12.2019 18:00","4254","4126"
"21.12.2019 18:00 - 21.12.2019 18:30","4505","4282"
"21.12.2019 18:30 - 21.12.2019 19:00","4642","4359"
"21.12.2019 19:00 - 21.12.2019 19:30","4646","4331"
"21.12.2019 19:30 - 21.12.2019 20:00","4574","4265"
"21.12.2019 20:00 - 21.12.2019 20:30","4466","4165"
"21.12.2019 20:30 - 21.12.2019 21:00","4349","4093"
"21.12.2019 21:00 - 21.12.2019 21:30","4254","3974"
"21.12.2019 21:30 - 21.12.2019 22:00","4164","3897"
"21.12.2019 22:00 - 21.12.2019 22:30","4056","3779"
"21.12.2019 22:30 - 21.12.2019 23:00","3937","3665"
"21.12.2019 23:00 - 21.12.2019 23:30","3781","3527"
"21.12.2019 23:30 - 22.12.2019 00:00","3645","3388"
"22.12.2019 00:00 - 22.12.2019 00:30","3599","3309"
"22.12.2019 00:30 - 22.12.2019 01:00","3625","3273"
"22.12.2019 01:00 - 22.12.2019 01:30","3491","3184"
"22.12.2019 01:30 - 22.12.2019 02:00","3338","3067"
"22.12.2019 02:00 - 22.12.2019 02:30","3199","2942"
"22.12.2019 02:30 - 22.12.2019 03:00","2983","2846"
"22.12.2019 03:00 - 22.12.2019 03:30","2873","2708"
