"Time (CET)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"04.04.2019 09:00 - 04.04.2019 09:30","N/A","433"
"04.04.2019 09:30 - 04.04.2019 10:00","N/A","429"
"04.04.2019 10:00 - 04.04.2019 10:30","N/A","429"
"04.04.2019 10:30 - 04.04.2019 11:00","N/A","427"
"04.04.2019 11:00 - 04.04.2019 11:30","N/A","422"
"04.04.2019 11:30 - 04.04.2019 12:00","N/A","429"
"04.04.2019 12:00 - 04.04.2019 12:30","N/A","429"
"04.04.2019 12:30 - 04.04.2019 13:00","N/A","418"
"04.04.2019 13:00 - 04.04.2019 13:30","N/A","421"
"04.04.2019 13:30 - 04.04.2019 14:00","N/A","433"
"04.04.2019 14:00 - 04.04.2019 14:30","N/A","438"
"04.04.2019 14:30 - 04.04.2019 15:00","N/A","450"
"04.04.2019 15:00 - 04.04.2019 15:30","N/A","454"
"04.04.2019 15:30 - 04.04.2019 16:00","N/A","457"
"04.04.2019 16:00 - 04.04.2019 16:30","N/A","472"
"04.04.2019 16:30 - 04.04.2019 17:00","N/A","491"
"04.04.2019 17:00 - 04.04.2019 17:30","N/A","506"
"04.04.2019 17:30 - 04.04.2019 18:00","N/A","518"
"04.04.2019 18:00 - 04.04.2019 18:30","N/A","536"
"04.04.2019 18:30 - 04.04.2019 19:00","N/A","581"
"04.04.2019 19:00 - 04.04.2019 19:30","N/A","597"
"04.04.2019 19:30 - 04.04.2019 20:00","N/A","588"
"04.04.2019 20:00 - 04.04.2019 20:30","N/A","572"
"04.04.2019 20:30 - 04.04.2019 21:00","N/A","551"
"04.04.2019 21:00 - 04.04.2019 21:30","N/A","528"
"04.04.2019 21:30 - 04.04.2019 22:00","N/A","496"
"04.04.2019 22:00 - 04.04.2019 22:30","N/A","464"
"04.04.2019 22:30 - 04.04.2019 23:00","N/A","431"
"04.04.2019 23:00 - 04.04.2019 23:30","N/A","398"
"04.04.2019 23:30 - 05.04.2019 00:00","N/A","372"
"05.04.2019 00:00 - 05.04.2019 00:30","N/A","349"
"05.04.2019 00:30 - 05.04.2019 01:00","N/A","330"
"05.04.2019 01:00 - 05.04.2019 01:30","N/A","319"
"05.04.2019 01:30 - 05.04.2019 02:00","N/A","312"
"05.04.2019 02:00 - 05.04.2019 02:30","N/A","304"
"05.04.2019 02:30 - 05.04.2019 03:00","N/A","303"
"05.04.2019 03:00 - 05.04.2019 03:30","N/A","305"
"05.04.2019 03:30 - 05.04.2019 04:00","N/A","305"
"05.04.2019 04:00 - 05.04.2019 04:30","N/A","314"
"05.04.2019 04:30 - 05.04.2019 05:00","N/A","332"
"05.04.2019 05:00 - 05.04.2019 05:30","N/A","352"
"05.04.2019 05:30 - 05.04.2019 06:00","N/A","397"
"05.04.2019 06:00 - 05.04.2019 06:30","N/A","435"
"05.04.2019 06:30 - 05.04.2019 07:00","N/A","445"
"05.04.2019 07:00 - 05.04.2019 07:30","N/A","458"
"05.04.2019 07:30 - 05.04.2019 08:00","N/A","459"
"05.04.2019 08:00 - 05.04.2019 08:30","N/A","451"
"05.04.2019 08:30 - 05.04.2019 09:00","N/A","442"
"05.04.2019 09:00 - 05.04.2019 09:30","N/A","430"
"05.04.2019 09:30 - 05.04.2019 10:00","N/A","424"
"05.04.2019 10:00 - 05.04.2019 10:30","N/A","420"
"05.04.2019 10:30 - 05.04.2019 11:00","N/A","424"
"05.04.2019 11:00 - 05.04.2019 11:30","N/A","426"
"05.04.2019 11:30 - 05.04.2019 12:00","N/A","426"
"05.04.2019 12:00 - 05.04.2019 12:30","N/A","429"
"05.04.2019 12:30 - 05.04.2019 13:00","N/A","432"
"05.04.2019 13:00 - 05.04.2019 13:30","N/A","443"
"05.04.2019 13:30 - 05.04.2019 14:00","N/A","442"
"05.04.2019 14:00 - 05.04.2019 14:30","N/A","428"
"05.04.2019 14:30 - 05.04.2019 15:00","N/A","425"
"05.04.2019 15:00 - 05.04.2019 15:30","N/A","424"
"05.04.2019 15:30 - 05.04.2019 16:00","N/A","427"
"05.04.2019 16:00 - 05.04.2019 16:30","N/A","434"
"05.04.2019 16:30 - 05.04.2019 17:00","N/A","442"
"05.04.2019 17:00 - 05.04.2019 17:30","N/A","454"
"05.04.2019 17:30 - 05.04.2019 18:00","N/A","467"
"05.04.2019 18:00 - 05.04.2019 18:30","N/A","486"
"05.04.2019 18:30 - 05.04.2019 19:00","N/A","538"
"05.04.2019 19:00 - 05.04.2019 19:30","N/A","556"
"05.04.2019 19:30 - 05.04.2019 20:00","N/A","553"
"05.04.2019 20:00 - 05.04.2019 20:30","N/A","538"
"05.04.2019 20:30 - 05.04.2019 21:00","N/A","524"
"05.04.2019 21:00 - 05.04.2019 21:30","N/A","503"
"05.04.2019 21:30 - 05.04.2019 22:00","N/A","479"
"05.04.2019 22:00 - 05.04.2019 22:30","N/A","455"
"05.04.2019 22:30 - 05.04.2019 23:00","N/A","428"
"05.04.2019 23:00 - 05.04.2019 23:30","N/A","399"
"05.04.2019 23:30 - 06.04.2019 00:00","N/A","373"
"06.04.2019 00:00 - 06.04.2019 00:30","N/A","348"
"06.04.2019 00:30 - 06.04.2019 01:00","N/A","333"
"06.04.2019 01:00 - 06.04.2019 01:30","N/A","318"
"06.04.2019 01:30 - 06.04.2019 02:00","N/A","311"
"06.04.2019 02:00 - 06.04.2019 02:30","N/A","305"
"06.04.2019 02:30 - 06.04.2019 03:00","N/A","301"
"06.04.2019 03:00 - 06.04.2019 03:30","N/A","299"
"06.04.2019 03:30 - 06.04.2019 04:00","N/A","299"
"06.04.2019 04:00 - 06.04.2019 04:30","N/A","303"
"06.04.2019 04:30 - 06.04.2019 05:00","N/A","311"
"06.04.2019 05:00 - 06.04.2019 05:30","N/A","307"
"06.04.2019 05:30 - 06.04.2019 06:00","N/A","323"
"06.04.2019 06:00 - 06.04.2019 06:30","N/A","341"
"06.04.2019 06:30 - 06.04.2019 07:00","N/A","366"
"06.04.2019 07:00 - 06.04.2019 07:30","N/A","390"
"06.04.2019 07:30 - 06.04.2019 08:00","N/A","415"
"06.04.2019 08:00 - 06.04.2019 08:30","N/A","N/A"
"06.04.2019 08:30 - 06.04.2019 09:00","N/A","447"
"06.04.2019 09:00 - 06.04.2019 09:30","N/A","451"
"06.04.2019 09:30 - 06.04.2019 10:00","N/A","449"
"06.04.2019 10:00 - 06.04.2019 10:30","N/A","443"
"06.04.2019 10:30 - 06.04.2019 11:00","N/A","441"
"06.04.2019 11:00 - 06.04.2019 11:30","N/A","448"
"06.04.2019 11:30 - 06.04.2019 12:00","N/A","455"
"06.04.2019 12:00 - 06.04.2019 12:30","N/A","459"
"06.04.2019 12:30 - 06.04.2019 13:00","N/A","455"
"06.04.2019 13:00 - 06.04.2019 13:30","N/A","458"
"06.04.2019 13:30 - 06.04.2019 14:00","N/A","453"
"06.04.2019 14:00 - 06.04.2019 14:30","N/A","453"
"06.04.2019 14:30 - 06.04.2019 15:00","N/A","458"
"06.04.2019 15:00 - 06.04.2019 15:30","N/A","456"
"06.04.2019 15:30 - 06.04.2019 16:00","N/A","453"
"06.04.2019 16:00 - 06.04.2019 16:30","N/A","459"
"06.04.2019 16:30 - 06.04.2019 17:00","N/A","471"
"06.04.2019 17:00 - 06.04.2019 17:30","N/A","490"
"06.04.2019 17:30 - 06.04.2019 18:00","N/A","507"
"06.04.2019 18:00 - 06.04.2019 18:30","N/A","523"
"06.04.2019 18:30 - 06.04.2019 19:00","N/A","554"
"06.04.2019 19:00 - 06.04.2019 19:30","N/A","567"
"06.04.2019 19:30 - 06.04.2019 20:00","N/A","556"
"06.04.2019 20:00 - 06.04.2019 20:30","N/A","538"
"06.04.2019 20:30 - 06.04.2019 21:00","N/A","521"
"06.04.2019 21:00 - 06.04.2019 21:30","N/A","503"
"06.04.2019 21:30 - 06.04.2019 22:00","N/A","480"
"06.04.2019 22:00 - 06.04.2019 22:30","N/A","456"
"06.04.2019 22:30 - 06.04.2019 23:00","N/A","429"
"06.04.2019 23:00 - 06.04.2019 23:30","N/A","402"
"06.04.2019 23:30 - 07.04.2019 00:00","N/A","372"
"07.04.2019 00:00 - 07.04.2019 00:30","N/A","351"
"07.04.2019 00:30 - 07.04.2019 01:00","N/A","335"
"07.04.2019 01:00 - 07.04.2019 01:30","N/A","323"
"07.04.2019 01:30 - 07.04.2019 02:00","N/A","310"
"07.04.2019 02:00 - 07.04.2019 02:30","N/A","305"
"07.04.2019 02:30 - 07.04.2019 03:00","N/A","300"
"07.04.2019 03:00 - 07.04.2019 03:30","N/A","298"
"07.04.2019 03:30 - 07.04.2019 04:00","N/A","297"
"07.04.2019 04:00 - 07.04.2019 04:30","N/A","299"
"07.04.2019 04:30 - 07.04.2019 05:00","N/A","305"
"07.04.2019 05:00 - 07.04.2019 05:30","N/A","298"
"07.04.2019 05:30 - 07.04.2019 06:00","N/A","309"
"07.04.2019 06:00 - 07.04.2019 06:30","N/A","322"
"07.04.2019 06:30 - 07.04.2019 07:00","N/A","329"
"07.04.2019 07:00 - 07.04.2019 07:30","N/A","338"
"07.04.2019 07:30 - 07.04.2019 08:00","N/A","351"
"07.04.2019 08:00 - 07.04.2019 08:30","N/A","361"
"07.04.2019 08:30 - 07.04.2019 09:00","N/A","372"
"07.04.2019 09:00 - 07.04.2019 09:30","N/A","382"
"07.04.2019 09:30 - 07.04.2019 10:00","N/A","393"
"07.04.2019 10:00 - 07.04.2019 10:30","N/A","398"
"07.04.2019 10:30 - 07.04.2019 11:00","N/A","411"
"07.04.2019 11:00 - 07.04.2019 11:30","N/A","415"
"07.04.2019 11:30 - 07.04.2019 12:00","N/A","417"
"07.04.2019 12:00 - 07.04.2019 12:30","N/A","413"
"07.04.2019 12:30 - 07.04.2019 13:00","N/A","397"
"07.04.2019 13:00 - 07.04.2019 13:30","N/A","385"
"07.04.2019 13:30 - 07.04.2019 14:00","N/A","368"
"07.04.2019 14:00 - 07.04.2019 14:30","N/A","355"
"07.04.2019 14:30 - 07.04.2019 15:00","N/A","358"
"07.04.2019 15:00 - 07.04.2019 15:30","N/A","357"
"07.04.2019 15:30 - 07.04.2019 16:00","N/A","359"
"07.04.2019 16:00 - 07.04.2019 16:30","N/A","361"
"07.04.2019 16:30 - 07.04.2019 17:00","N/A","375"
"07.04.2019 17:00 - 07.04.2019 17:30","N/A","389"
"07.04.2019 17:30 - 07.04.2019 18:00","N/A","409"
"07.04.2019 18:00 - 07.04.2019 18:30","N/A","436"
"07.04.2019 18:30 - 07.04.2019 19:00","N/A","485"
"07.04.2019 19:00 - 07.04.2019 19:30","N/A","522"
"07.04.2019 19:30 - 07.04.2019 20:00","N/A","527"
"07.04.2019 20:00 - 07.04.2019 20:30","N/A","518"
"07.04.2019 20:30 - 07.04.2019 21:00","N/A","501"
"07.04.2019 21:00 - 07.04.2019 21:30","N/A","479"
"07.04.2019 21:30 - 07.04.2019 22:00","N/A","453"
"07.04.2019 22:00 - 07.04.2019 22:30","N/A","424"
"07.04.2019 22:30 - 07.04.2019 23:00","N/A","397"
"07.04.2019 23:00 - 07.04.2019 23:30","N/A","369"
"07.04.2019 23:30 - 08.04.2019 00:00","N/A","343"
"08.04.2019 00:00 - 08.04.2019 00:30","N/A","323"
"08.04.2019 00:30 - 08.04.2019 01:00","N/A","307"
"08.04.2019 01:00 - 08.04.2019 01:30","N/A","297"
"08.04.2019 01:30 - 08.04.2019 02:00","N/A","291"
"08.04.2019 02:00 - 08.04.2019 02:30","N/A","286"
"08.04.2019 02:30 - 08.04.2019 03:00","N/A","284"
"08.04.2019 03:00 - 08.04.2019 03:30","N/A","284"
"08.04.2019 03:30 - 08.04.2019 04:00","N/A","287"
"08.04.2019 04:00 - 08.04.2019 04:30","N/A","295"
"08.04.2019 04:30 - 08.04.2019 05:00","N/A","314"
"08.04.2019 05:00 - 08.04.2019 05:30","N/A","328"
"08.04.2019 05:30 - 08.04.2019 06:00","N/A","377"
"08.04.2019 06:00 - 08.04.2019 06:30","N/A","414"
"08.04.2019 06:30 - 08.04.2019 07:00","N/A","429"
"08.04.2019 07:00 - 08.04.2019 07:30","N/A","437"
"08.04.2019 07:30 - 08.04.2019 08:00","N/A","444"
"08.04.2019 08:00 - 08.04.2019 08:30","N/A","437"
"08.04.2019 08:30 - 08.04.2019 09:00","N/A","428"
"08.04.2019 09:00 - 08.04.2019 09:30","N/A","420"
"08.04.2019 09:30 - 08.04.2019 10:00","N/A","413"
"08.04.2019 10:00 - 08.04.2019 10:30","N/A","411"
"08.04.2019 10:30 - 08.04.2019 11:00","N/A","406"
"08.04.2019 11:00 - 08.04.2019 11:30","N/A","402"
"08.04.2019 11:30 - 08.04.2019 12:00","N/A","401"
"08.04.2019 12:00 - 08.04.2019 12:30","N/A","398"
"08.04.2019 12:30 - 08.04.2019 13:00","N/A","397"
"08.04.2019 13:00 - 08.04.2019 13:30","N/A","394"
"08.04.2019 13:30 - 08.04.2019 14:00","N/A","392"
"08.04.2019 14:00 - 08.04.2019 14:30","N/A","391"
"08.04.2019 14:30 - 08.04.2019 15:00","N/A","393"
"08.04.2019 15:00 - 08.04.2019 15:30","N/A","398"
"08.04.2019 15:30 - 08.04.2019 16:00","N/A","402"
"08.04.2019 16:00 - 08.04.2019 16:30","N/A","412"
"08.04.2019 16:30 - 08.04.2019 17:00","N/A","421"
"08.04.2019 17:00 - 08.04.2019 17:30","N/A","433"
"08.04.2019 17:30 - 08.04.2019 18:00","N/A","448"
"08.04.2019 18:00 - 08.04.2019 18:30","N/A","471"
"08.04.2019 18:30 - 08.04.2019 19:00","N/A","515"
"08.04.2019 19:00 - 08.04.2019 19:30","N/A","535"
"08.04.2019 19:30 - 08.04.2019 20:00","N/A","528"
"08.04.2019 20:00 - 08.04.2019 20:30","N/A","513"
"08.04.2019 20:30 - 08.04.2019 21:00","N/A","491"
"08.04.2019 21:00 - 08.04.2019 21:30","N/A","468"
"08.04.2019 21:30 - 08.04.2019 22:00","N/A","444"
"08.04.2019 22:00 - 08.04.2019 22:30","N/A","412"
"08.04.2019 22:30 - 08.04.2019 23:00","N/A","385"
"08.04.2019 23:00 - 08.04.2019 23:30","N/A","358"
"08.04.2019 23:30 - 09.04.2019 00:00","N/A","333"
"09.04.2019 00:00 - 09.04.2019 00:30","N/A","318"
"09.04.2019 00:30 - 09.04.2019 01:00","N/A","304"
"09.04.2019 01:00 - 09.04.2019 01:30","N/A","296"
"09.04.2019 01:30 - 09.04.2019 02:00","N/A","292"
"09.04.2019 02:00 - 09.04.2019 02:30","N/A","287"
"09.04.2019 02:30 - 09.04.2019 03:00","N/A","286"
"09.04.2019 03:00 - 09.04.2019 03:30","N/A","285"
"09.04.2019 03:30 - 09.04.2019 04:00","N/A","288"
"09.04.2019 04:00 - 09.04.2019 04:30","N/A","295"
"09.04.2019 04:30 - 09.04.2019 05:00","N/A","312"
"09.04.2019 05:00 - 09.04.2019 05:30","N/A","325"
"09.04.2019 05:30 - 09.04.2019 06:00","N/A","371"
"09.04.2019 06:00 - 09.04.2019 06:30","N/A","403"
"09.04.2019 06:30 - 09.04.2019 07:00","N/A","423"
"09.04.2019 07:00 - 09.04.2019 07:30","N/A","439"
"09.04.2019 07:30 - 09.04.2019 08:00","N/A","454"
"09.04.2019 08:00 - 09.04.2019 08:30","N/A","453"
"09.04.2019 08:30 - 09.04.2019 09:00","N/A","459"
"09.04.2019 09:00 - 09.04.2019 09:30","N/A","459"
"09.04.2019 09:30 - 09.04.2019 10:00","N/A","456"
"09.04.2019 10:00 - 09.04.2019 10:30","N/A","447"
"09.04.2019 10:30 - 09.04.2019 11:00","N/A","438"
"09.04.2019 11:00 - 09.04.2019 11:30","N/A","433"
"09.04.2019 11:30 - 09.04.2019 12:00","N/A","435"
"09.04.2019 12:00 - 09.04.2019 12:30","N/A","441"
"09.04.2019 12:30 - 09.04.2019 13:00","N/A","430"
"09.04.2019 13:00 - 09.04.2019 13:30","N/A","431"
"09.04.2019 13:30 - 09.04.2019 14:00","N/A","422"
"09.04.2019 14:00 - 09.04.2019 14:30","N/A","418"
"09.04.2019 14:30 - 09.04.2019 15:00","N/A","417"
"09.04.2019 15:00 - 09.04.2019 15:30","N/A","409"
"09.04.2019 15:30 - 09.04.2019 16:00","N/A","407"
"09.04.2019 16:00 - 09.04.2019 16:30","N/A","415"
"09.04.2019 16:30 - 09.04.2019 17:00","N/A","429"
"09.04.2019 17:00 - 09.04.2019 17:30","N/A","438"
"09.04.2019 17:30 - 09.04.2019 18:00","N/A","455"
"09.04.2019 18:00 - 09.04.2019 18:30","N/A","481"
"09.04.2019 18:30 - 09.04.2019 19:00","N/A","526"
"09.04.2019 19:00 - 09.04.2019 19:30","N/A","556"
"09.04.2019 19:30 - 09.04.2019 20:00","N/A","549"
"09.04.2019 20:00 - 09.04.2019 20:30","N/A","533"
"09.04.2019 20:30 - 09.04.2019 21:00","N/A","509"
"09.04.2019 21:00 - 09.04.2019 21:30","N/A","481"
"09.04.2019 21:30 - 09.04.2019 22:00","N/A","449"
"09.04.2019 22:00 - 09.04.2019 22:30","N/A","422"
"09.04.2019 22:30 - 09.04.2019 23:00","N/A","395"
"09.04.2019 23:00 - 09.04.2019 23:30","N/A","367"
"09.04.2019 23:30 - 10.04.2019 00:00","N/A","339"
"10.04.2019 00:00 - 10.04.2019 00:30","N/A","321"
"10.04.2019 00:30 - 10.04.2019 01:00","N/A","307"
"10.04.2019 01:00 - 10.04.2019 01:30","N/A","298"
"10.04.2019 01:30 - 10.04.2019 02:00","N/A","293"
"10.04.2019 02:00 - 10.04.2019 02:30","N/A","289"
"10.04.2019 02:30 - 10.04.2019 03:00","N/A","288"
"10.04.2019 03:00 - 10.04.2019 03:30","N/A","289"
"10.04.2019 03:30 - 10.04.2019 04:00","N/A","294"
"10.04.2019 04:00 - 10.04.2019 04:30","N/A","302"
"10.04.2019 04:30 - 10.04.2019 05:00","N/A","318"
"10.04.2019 05:00 - 10.04.2019 05:30","N/A","334"
"10.04.2019 05:30 - 10.04.2019 06:00","N/A","380"
"10.04.2019 06:00 - 10.04.2019 06:30","N/A","407"
"10.04.2019 06:30 - 10.04.2019 07:00","N/A","424"
"10.04.2019 07:00 - 10.04.2019 07:30","N/A","430"
"10.04.2019 07:30 - 10.04.2019 08:00","N/A","437"
"10.04.2019 08:00 - 10.04.2019 08:30","N/A","431"
"10.04.2019 08:30 - 10.04.2019 09:00","N/A","433"
"10.04.2019 09:00 - 10.04.2019 09:30","N/A","430"
"10.04.2019 09:30 - 10.04.2019 10:00","N/A","419"
"10.04.2019 10:00 - 10.04.2019 10:30","N/A","422"
"10.04.2019 10:30 - 10.04.2019 11:00","N/A","424"
"10.04.2019 11:00 - 10.04.2019 11:30","N/A","423"
"10.04.2019 11:30 - 10.04.2019 12:00","N/A","425"
"10.04.2019 12:00 - 10.04.2019 12:30","N/A","422"
"10.04.2019 12:30 - 10.04.2019 13:00","N/A","415"
"10.04.2019 13:00 - 10.04.2019 13:30","N/A","411"
"10.04.2019 13:30 - 10.04.2019 14:00","N/A","405"
"10.04.2019 14:00 - 10.04.2019 14:30","N/A","398"
"10.04.2019 14:30 - 10.04.2019 15:00","N/A","401"
"10.04.2019 15:00 - 10.04.2019 15:30","N/A","404"
"10.04.2019 15:30 - 10.04.2019 16:00","N/A","416"
"10.04.2019 16:00 - 10.04.2019 16:30","N/A","418"
"10.04.2019 16:30 - 10.04.2019 17:00","N/A","429"
"10.04.2019 17:00 - 10.04.2019 17:30","N/A","456"
"10.04.2019 17:30 - 10.04.2019 18:00","N/A","483"
"10.04.2019 18:00 - 10.04.2019 18:30","N/A","502"
"10.04.2019 18:30 - 10.04.2019 19:00","N/A","540"
"10.04.2019 19:00 - 10.04.2019 19:30","N/A","565"
"10.04.2019 19:30 - 10.04.2019 20:00","N/A","558"
"10.04.2019 20:00 - 10.04.2019 20:30","N/A","536"
"10.04.2019 20:30 - 10.04.2019 21:00","N/A","510"
"10.04.2019 21:00 - 10.04.2019 21:30","N/A","487"
"10.04.2019 21:30 - 10.04.2019 22:00","N/A","456"
"10.04.2019 22:00 - 10.04.2019 22:30","N/A","424"
"10.04.2019 22:30 - 10.04.2019 23:00","N/A","398"
"10.04.2019 23:00 - 10.04.2019 23:30","N/A","369"
"10.04.2019 23:30 - 11.04.2019 00:00","N/A","340"
"11.04.2019 00:00 - 11.04.2019 00:30","N/A","323"
"11.04.2019 00:30 - 11.04.2019 01:00","N/A","311"
"11.04.2019 01:00 - 11.04.2019 01:30","N/A","302"
"11.04.2019 01:30 - 11.04.2019 02:00","N/A","296"
"11.04.2019 02:00 - 11.04.2019 02:30","N/A","292"
"11.04.2019 02:30 - 11.04.2019 03:00","N/A","292"
"11.04.2019 03:00 - 11.04.2019 03:30","N/A","292"
"11.04.2019 03:30 - 11.04.2019 04:00","N/A","294"
"11.04.2019 04:00 - 11.04.2019 04:30","N/A","301"
"11.04.2019 04:30 - 11.04.2019 05:00","N/A","319"
"11.04.2019 05:00 - 11.04.2019 05:30","N/A","336"
"11.04.2019 05:30 - 11.04.2019 06:00","N/A","378"
"11.04.2019 06:00 - 11.04.2019 06:30","N/A","410"
"11.04.2019 06:30 - 11.04.2019 07:00","N/A","426"
"11.04.2019 07:00 - 11.04.2019 07:30","N/A","441"
"11.04.2019 07:30 - 11.04.2019 08:00","N/A","447"
"11.04.2019 08:00 - 11.04.2019 08:30","N/A","449"
"11.04.2019 08:30 - 11.04.2019 09:00","N/A","447"
"11.04.2019 09:00 - 11.04.2019 09:30","N/A","443"
"11.04.2019 09:30 - 11.04.2019 10:00","N/A","447"
"11.04.2019 10:00 - 11.04.2019 10:30","N/A","456"
"11.04.2019 10:30 - 11.04.2019 11:00","N/A","459"
"11.04.2019 11:00 - 11.04.2019 11:30","N/A","462"
"11.04.2019 11:30 - 11.04.2019 12:00","N/A","459"
"11.04.2019 12:00 - 11.04.2019 12:30","N/A","441"
"11.04.2019 12:30 - 11.04.2019 13:00","N/A","440"
"11.04.2019 13:00 - 11.04.2019 13:30","N/A","433"
"11.04.2019 13:30 - 11.04.2019 14:00","N/A","430"
"11.04.2019 14:00 - 11.04.2019 14:30","N/A","419"
"11.04.2019 14:30 - 11.04.2019 15:00","N/A","419"
"11.04.2019 15:00 - 11.04.2019 15:30","N/A","416"
"11.04.2019 15:30 - 11.04.2019 16:00","N/A","424"
"11.04.2019 16:00 - 11.04.2019 16:30","N/A","432"
"11.04.2019 16:30 - 11.04.2019 17:00","N/A","439"
"11.04.2019 17:00 - 11.04.2019 17:30","N/A","451"
"11.04.2019 17:30 - 11.04.2019 18:00","N/A","469"
"11.04.2019 18:00 - 11.04.2019 18:30","N/A","488"
"11.04.2019 18:30 - 11.04.2019 19:00","N/A","526"
"11.04.2019 19:00 - 11.04.2019 19:30","N/A","563"
"11.04.2019 19:30 - 11.04.2019 20:00","N/A","555"
"11.04.2019 20:00 - 11.04.2019 20:30","N/A","537"
"11.04.2019 20:30 - 11.04.2019 21:00","N/A","514"
"11.04.2019 21:00 - 11.04.2019 21:30","N/A","488"
"11.04.2019 21:30 - 11.04.2019 22:00","N/A","459"
"11.04.2019 22:00 - 11.04.2019 22:30","N/A","422"
"11.04.2019 22:30 - 11.04.2019 23:00","N/A","396"
"11.04.2019 23:00 - 11.04.2019 23:30","N/A","371"
"11.04.2019 23:30 - 12.04.2019 00:00","N/A","343"
"12.04.2019 00:00 - 12.04.2019 00:30","N/A","325"
"12.04.2019 00:30 - 12.04.2019 01:00","N/A","312"
"12.04.2019 01:00 - 12.04.2019 01:30","N/A","303"
"12.04.2019 01:30 - 12.04.2019 02:00","N/A","297"
"12.04.2019 02:00 - 12.04.2019 02:30","N/A","294"
"12.04.2019 02:30 - 12.04.2019 03:00","N/A","291"
"12.04.2019 03:00 - 12.04.2019 03:30","N/A","290"
"12.04.2019 03:30 - 12.04.2019 04:00","N/A","295"
"12.04.2019 04:00 - 12.04.2019 04:30","N/A","303"
"12.04.2019 04:30 - 12.04.2019 05:00","N/A","321"
"12.04.2019 05:00 - 12.04.2019 05:30","N/A","336"
"12.04.2019 05:30 - 12.04.2019 06:00","N/A","379"
"12.04.2019 06:00 - 12.04.2019 06:30","N/A","412"
"12.04.2019 06:30 - 12.04.2019 07:00","N/A","426"
"12.04.2019 07:00 - 12.04.2019 07:30","N/A","433"
"12.04.2019 07:30 - 12.04.2019 08:00","N/A","439"
"12.04.2019 08:00 - 12.04.2019 08:30","N/A","429"
"12.04.2019 08:30 - 12.04.2019 09:00","N/A","427"
"12.04.2019 09:00 - 12.04.2019 09:30","N/A","418"
"12.04.2019 09:30 - 12.04.2019 10:00","N/A","410"
"12.04.2019 10:00 - 12.04.2019 10:30","N/A","409"
"12.04.2019 10:30 - 12.04.2019 11:00","N/A","404"
"12.04.2019 11:00 - 12.04.2019 11:30","N/A","401"
"12.04.2019 11:30 - 12.04.2019 12:00","N/A","396"
"12.04.2019 12:00 - 12.04.2019 12:30","N/A","392"
"12.04.2019 12:30 - 12.04.2019 13:00","N/A","387"
"12.04.2019 13:00 - 12.04.2019 13:30","N/A","387"
"12.04.2019 13:30 - 12.04.2019 14:00","N/A","382"
"12.04.2019 14:00 - 12.04.2019 14:30","N/A","377"
"12.04.2019 14:30 - 12.04.2019 15:00","N/A","377"
"12.04.2019 15:00 - 12.04.2019 15:30","N/A","379"
"12.04.2019 15:30 - 12.04.2019 16:00","N/A","388"
"12.04.2019 16:00 - 12.04.2019 16:30","N/A","398"
"12.04.2019 16:30 - 12.04.2019 17:00","N/A","412"
"12.04.2019 17:00 - 12.04.2019 17:30","N/A","426"
"12.04.2019 17:30 - 12.04.2019 18:00","N/A","439"
"12.04.2019 18:00 - 12.04.2019 18:30","N/A","453"
"12.04.2019 18:30 - 12.04.2019 19:00","N/A","482"
"12.04.2019 19:00 - 12.04.2019 19:30","N/A","511"
"12.04.2019 19:30 - 12.04.2019 20:00","N/A","506"
"12.04.2019 20:00 - 12.04.2019 20:30","N/A","497"
"12.04.2019 20:30 - 12.04.2019 21:00","N/A","481"
"12.04.2019 21:00 - 12.04.2019 21:30","N/A","458"
"12.04.2019 21:30 - 12.04.2019 22:00","N/A","437"
"12.04.2019 22:00 - 12.04.2019 22:30","N/A","414"
"12.04.2019 22:30 - 12.04.2019 23:00","N/A","392"
"12.04.2019 23:00 - 12.04.2019 23:30","N/A","364"
"12.04.2019 23:30 - 13.04.2019 00:00","N/A","345"
"13.04.2019 00:00 - 13.04.2019 00:30","N/A","325"
"13.04.2019 00:30 - 13.04.2019 01:00","N/A","311"
"13.04.2019 01:00 - 13.04.2019 01:30","N/A","302"
"13.04.2019 01:30 - 13.04.2019 02:00","N/A","297"
"13.04.2019 02:00 - 13.04.2019 02:30","N/A","290"
"13.04.2019 02:30 - 13.04.2019 03:00","N/A","289"
"13.04.2019 03:00 - 13.04.2019 03:30","N/A","286"
"13.04.2019 03:30 - 13.04.2019 04:00","N/A","289"
"13.04.2019 04:00 - 13.04.2019 04:30","N/A","291"
"13.04.2019 04:30 - 13.04.2019 05:00","N/A","301"
"13.04.2019 05:00 - 13.04.2019 05:30","N/A","297"
"13.04.2019 05:30 - 13.04.2019 06:00","N/A","311"
"13.04.2019 06:00 - 13.04.2019 06:30","N/A","330"
"13.04.2019 06:30 - 13.04.2019 07:00","N/A","351"
"13.04.2019 07:00 - 13.04.2019 07:30","N/A","364"
"13.04.2019 07:30 - 13.04.2019 08:00","N/A","376"
"13.04.2019 08:00 - 13.04.2019 08:30","N/A","381"
"13.04.2019 08:30 - 13.04.2019 09:00","N/A","381"
"13.04.2019 09:00 - 13.04.2019 09:30","N/A","374"
"13.04.2019 09:30 - 13.04.2019 10:00","N/A","373"
"13.04.2019 10:00 - 13.04.2019 10:30","N/A","367"
