"Time (CET)","Estonia (EE) > Finland (FI) [MW]","Finland (FI) > Estonia (EE) [MW]"
"17.03.2018 11:00 - 17.03.2018 12:00","145","0"
"17.03.2018 12:00 - 17.03.2018 13:00","160","0"
"17.03.2018 13:00 - 17.03.2018 14:00","116","0"
"17.03.2018 14:00 - 17.03.2018 15:00","197","0"
"17.03.2018 15:00 - 17.03.2018 16:00","200","0"
"17.03.2018 16:00 - 17.03.2018 17:00","130","0"
"17.03.2018 17:00 - 17.03.2018 18:00","87","0"
"17.03.2018 18:00 - 17.03.2018 19:00","8","0"
"17.03.2018 19:00 - 17.03.2018 20:00","0","52"
"17.03.2018 20:00 - 17.03.2018 21:00","99","0"
"17.03.2018 21:00 - 17.03.2018 22:00","200","0"
"17.03.2018 22:00 - 17.03.2018 23:00","388","0"
"17.03.2018 23:00 - 18.03.2018 00:00","701","0"
"18.03.2018 00:00 - 18.03.2018 01:00","352","0"
"18.03.2018 01:00 - 18.03.2018 02:00","373","0"
"18.03.2018 02:00 - 18.03.2018 03:00","414","0"
"18.03.2018 03:00 - 18.03.2018 04:00","408","0"
"18.03.2018 04:00 - 18.03.2018 05:00","289","0"
"18.03.2018 05:00 - 18.03.2018 06:00","570","0"
"18.03.2018 06:00 - 18.03.2018 07:00","33","0"
"18.03.2018 07:00 - 18.03.2018 08:00","132","0"
"18.03.2018 08:00 - 18.03.2018 09:00","22","0"
"18.03.2018 09:00 - 18.03.2018 10:00","0","11"
"18.03.2018 10:00 - 18.03.2018 11:00","0","1"
"18.03.2018 11:00 - 18.03.2018 12:00","11","0"
"18.03.2018 12:00 - 18.03.2018 13:00","0","5"
"18.03.2018 13:00 - 18.03.2018 14:00","0","0"
"18.03.2018 14:00 - 18.03.2018 15:00","28","0"
"18.03.2018 15:00 - 18.03.2018 16:00","0","4"
"18.03.2018 16:00 - 18.03.2018 17:00","0","7"
"18.03.2018 17:00 - 18.03.2018 18:00","50","0"
"18.03.2018 18:00 - 18.03.2018 19:00","0","161"
"18.03.2018 19:00 - 18.03.2018 20:00","0","235"
"18.03.2018 20:00 - 18.03.2018 21:00","0","113"
"18.03.2018 21:00 - 18.03.2018 22:00","102","0"
"18.03.2018 22:00 - 18.03.2018 23:00","453","0"
"18.03.2018 23:00 - 19.03.2018 00:00","676","0"
"19.03.2018 00:00 - 19.03.2018 01:00","306","0"
"19.03.2018 01:00 - 19.03.2018 02:00","106","0"
"19.03.2018 02:00 - 19.03.2018 03:00","146","0"
"19.03.2018 03:00 - 19.03.2018 04:00","315","0"
"19.03.2018 04:00 - 19.03.2018 05:00","676","0"
"19.03.2018 05:00 - 19.03.2018 06:00","569","0"
"19.03.2018 06:00 - 19.03.2018 07:00","35","0"
"19.03.2018 07:00 - 19.03.2018 08:00","0","165"
"19.03.2018 08:00 - 19.03.2018 09:00","0","10"
"19.03.2018 09:00 - 19.03.2018 10:00","0","187"
"19.03.2018 10:00 - 19.03.2018 11:00","0","223"
"19.03.2018 11:00 - 19.03.2018 12:00","0","177"
"19.03.2018 12:00 - 19.03.2018 13:00","0","178"
"19.03.2018 13:00 - 19.03.2018 14:00","0","128"
"19.03.2018 14:00 - 19.03.2018 15:00","0","52"
"19.03.2018 15:00 - 19.03.2018 16:00","109","0"
"19.03.2018 16:00 - 19.03.2018 17:00","2","0"
"19.03.2018 17:00 - 19.03.2018 18:00","0","143"
"19.03.2018 18:00 - 19.03.2018 19:00","0","208"
"19.03.2018 19:00 - 19.03.2018 20:00","0","153"
"19.03.2018 20:00 - 19.03.2018 21:00","0","135"
"19.03.2018 21:00 - 19.03.2018 22:00","95","0"
"19.03.2018 22:00 - 19.03.2018 23:00","490","0"
"19.03.2018 23:00 - 20.03.2018 00:00","474","0"
"20.03.2018 00:00 - 20.03.2018 01:00","219","0"
"20.03.2018 01:00 - 20.03.2018 02:00","249","0"
"20.03.2018 02:00 - 20.03.2018 03:00","184","0"
"20.03.2018 03:00 - 20.03.2018 04:00","191","0"
"20.03.2018 04:00 - 20.03.2018 05:00","592","0"
"20.03.2018 05:00 - 20.03.2018 06:00","376","0"
"20.03.2018 06:00 - 20.03.2018 07:00","0","32"
"20.03.2018 07:00 - 20.03.2018 08:00","0","188"
"20.03.2018 08:00 - 20.03.2018 09:00","0","268"
"20.03.2018 09:00 - 20.03.2018 10:00","0","334"
"20.03.2018 10:00 - 20.03.2018 11:00","0","335"
"20.03.2018 11:00 - 20.03.2018 12:00","0","307"
"20.03.2018 12:00 - 20.03.2018 13:00","0","335"
"20.03.2018 13:00 - 20.03.2018 14:00","0","249"
"20.03.2018 14:00 - 20.03.2018 15:00","0","272"
"20.03.2018 15:00 - 20.03.2018 16:00","0","175"
"20.03.2018 16:00 - 20.03.2018 17:00","0","183"
"20.03.2018 17:00 - 20.03.2018 18:00","0","38"
"20.03.2018 18:00 - 20.03.2018 19:00","0","5"
"20.03.2018 19:00 - 20.03.2018 20:00","0","16"
"20.03.2018 20:00 - 20.03.2018 21:00","0","46"
"20.03.2018 21:00 - 20.03.2018 22:00","63","0"
"20.03.2018 22:00 - 20.03.2018 23:00","384","0"
"20.03.2018 23:00 - 21.03.2018 00:00","819","0"
"21.03.2018 00:00 - 21.03.2018 01:00","912","0"
"21.03.2018 01:00 - 21.03.2018 02:00","880","0"
"21.03.2018 02:00 - 21.03.2018 03:00","786","0"
"21.03.2018 03:00 - 21.03.2018 04:00","768","0"
"21.03.2018 04:00 - 21.03.2018 05:00","704","0"
"21.03.2018 05:00 - 21.03.2018 06:00","225","0"
"21.03.2018 06:00 - 21.03.2018 07:00","0","21"
"21.03.2018 07:00 - 21.03.2018 08:00","0","231"
"21.03.2018 08:00 - 21.03.2018 09:00","0","175"
"21.03.2018 09:00 - 21.03.2018 10:00","0","255"
"21.03.2018 10:00 - 21.03.2018 11:00","0","257"
"21.03.2018 11:00 - 21.03.2018 12:00","0","201"
"21.03.2018 12:00 - 21.03.2018 13:00","0","245"
"21.03.2018 13:00 - 21.03.2018 14:00","0","197"
"21.03.2018 14:00 - 21.03.2018 15:00","0","176"
"21.03.2018 15:00 - 21.03.2018 16:00","0","129"
"21.03.2018 16:00 - 21.03.2018 17:00","0","114"
"21.03.2018 17:00 - 21.03.2018 18:00","0","117"
"21.03.2018 18:00 - 21.03.2018 19:00","0","138"
"21.03.2018 19:00 - 21.03.2018 20:00","23","0"
"21.03.2018 20:00 - 21.03.2018 21:00","25","0"
"21.03.2018 21:00 - 21.03.2018 22:00","48","0"
"21.03.2018 22:00 - 21.03.2018 23:00","560","0"
"21.03.2018 23:00 - 22.03.2018 00:00","922","0"
"22.03.2018 00:00 - 22.03.2018 01:00","729","0"
"22.03.2018 01:00 - 22.03.2018 02:00","743","0"
"22.03.2018 02:00 - 22.03.2018 03:00","705","0"
"22.03.2018 03:00 - 22.03.2018 04:00","593","0"
"22.03.2018 04:00 - 22.03.2018 05:00","601","0"
"22.03.2018 05:00 - 22.03.2018 06:00","426","0"
"22.03.2018 06:00 - 22.03.2018 07:00","280","0"
"22.03.2018 07:00 - 22.03.2018 08:00","0","124"
"22.03.2018 08:00 - 22.03.2018 09:00","0","147"
"22.03.2018 09:00 - 22.03.2018 10:00","0","131"
"22.03.2018 10:00 - 22.03.2018 11:00","0","200"
"22.03.2018 11:00 - 22.03.2018 12:00","0","127"
"22.03.2018 12:00 - 22.03.2018 13:00","0","167"
"22.03.2018 13:00 - 22.03.2018 14:00","0","141"
"22.03.2018 14:00 - 22.03.2018 15:00","0","154"
"22.03.2018 15:00 - 22.03.2018 16:00","0","131"
"22.03.2018 16:00 - 22.03.2018 17:00","0","146"
"22.03.2018 17:00 - 22.03.2018 18:00","0","192"
"22.03.2018 18:00 - 22.03.2018 19:00","0","194"
"22.03.2018 19:00 - 22.03.2018 20:00","0","93"
"22.03.2018 20:00 - 22.03.2018 21:00","0","33"
"22.03.2018 21:00 - 22.03.2018 22:00","81","0"
"22.03.2018 22:00 - 22.03.2018 23:00","396","0"
"22.03.2018 23:00 - 23.03.2018 00:00","669","0"
"23.03.2018 00:00 - 23.03.2018 01:00","776","0"
"23.03.2018 01:00 - 23.03.2018 02:00","780","0"
"23.03.2018 02:00 - 23.03.2018 03:00","1002","0"
"23.03.2018 03:00 - 23.03.2018 04:00","1000","0"
"23.03.2018 04:00 - 23.03.2018 05:00","738","0"
"23.03.2018 05:00 - 23.03.2018 06:00","185","0"
"23.03.2018 06:00 - 23.03.2018 07:00","0","4"
"23.03.2018 07:00 - 23.03.2018 08:00","27","0"
"23.03.2018 08:00 - 23.03.2018 09:00","0","56"
"23.03.2018 09:00 - 23.03.2018 10:00","3","0"
"23.03.2018 10:00 - 23.03.2018 11:00","50","0"
"23.03.2018 11:00 - 23.03.2018 12:00","2","0"
"23.03.2018 12:00 - 23.03.2018 13:00","0","209"
"23.03.2018 13:00 - 23.03.2018 14:00","0","221"
"23.03.2018 14:00 - 23.03.2018 15:00","0","216"
"23.03.2018 15:00 - 23.03.2018 16:00","0","193"
"23.03.2018 16:00 - 23.03.2018 17:00","0","180"
"23.03.2018 17:00 - 23.03.2018 18:00","0","138"
"23.03.2018 18:00 - 23.03.2018 19:00","0","191"
"23.03.2018 19:00 - 23.03.2018 20:00","0","159"
"23.03.2018 20:00 - 23.03.2018 21:00","0","108"
"23.03.2018 21:00 - 23.03.2018 22:00","0","11"
"23.03.2018 22:00 - 23.03.2018 23:00","235","0"
"23.03.2018 23:00 - 24.03.2018 00:00","317","0"
"24.03.2018 00:00 - 24.03.2018 01:00","231","0"
"24.03.2018 01:00 - 24.03.2018 02:00","224","0"
"24.03.2018 02:00 - 24.03.2018 03:00","258","0"
"24.03.2018 03:00 - 24.03.2018 04:00","274","0"
"24.03.2018 04:00 - 24.03.2018 05:00","245","0"
"24.03.2018 05:00 - 24.03.2018 06:00","130","0"
"24.03.2018 06:00 - 24.03.2018 07:00","0","23"
"24.03.2018 07:00 - 24.03.2018 08:00","0","10"
"24.03.2018 08:00 - 24.03.2018 09:00","0","49"
"24.03.2018 09:00 - 24.03.2018 10:00","0","138"
"24.03.2018 10:00 - 24.03.2018 11:00","0","114"
"24.03.2018 11:00 - 24.03.2018 12:00","0","79"
"24.03.2018 12:00 - 24.03.2018 13:00","19","0"
"24.03.2018 13:00 - 24.03.2018 14:00","16","0"
"24.03.2018 14:00 - 24.03.2018 15:00","0","100"
"24.03.2018 15:00 - 24.03.2018 16:00","0","71"
"24.03.2018 16:00 - 24.03.2018 17:00","0","77"
"24.03.2018 17:00 - 24.03.2018 18:00","3","0"
"24.03.2018 18:00 - 24.03.2018 19:00","24","0"
"24.03.2018 19:00 - 24.03.2018 20:00","15","0"
"24.03.2018 20:00 - 24.03.2018 21:00","20","0"
"24.03.2018 21:00 - 24.03.2018 22:00","210","0"
"24.03.2018 22:00 - 24.03.2018 23:00","295","0"
"24.03.2018 23:00 - 25.03.2018 00:00","654","0"
"25.03.2018 00:00 - 25.03.2018 01:00","616","0"
"25.03.2018 01:00 - 25.03.2018 02:00","817","0"
"25.03.2018 02:00 - 25.03.2018 03:00","",""
"25.03.2018 03:00 - 25.03.2018 04:00","750","0"
"25.03.2018 04:00 - 25.03.2018 05:00","N/A","N/A"
"25.03.2018 05:00 - 25.03.2018 06:00","N/A","N/A"
"25.03.2018 06:00 - 25.03.2018 07:00","N/A","N/A"
"25.03.2018 07:00 - 25.03.2018 08:00","30","0"
"25.03.2018 08:00 - 25.03.2018 09:00","0","94"
"25.03.2018 09:00 - 25.03.2018 10:00","23","0"
"25.03.2018 10:00 - 25.03.2018 11:00","0","6"
"25.03.2018 11:00 - 25.03.2018 12:00","0","26"
"25.03.2018 12:00 - 25.03.2018 13:00","0","53"
"25.03.2018 13:00 - 25.03.2018 14:00","0","88"
"25.03.2018 14:00 - 25.03.2018 15:00","0","102"
"25.03.2018 15:00 - 25.03.2018 16:00","16","0"
"25.03.2018 16:00 - 25.03.2018 17:00","61","0"
"25.03.2018 17:00 - 25.03.2018 18:00","0","68"
"25.03.2018 18:00 - 25.03.2018 19:00","0","72"
"25.03.2018 19:00 - 25.03.2018 20:00","0","175"
"25.03.2018 20:00 - 25.03.2018 21:00","0","338"
"25.03.2018 21:00 - 25.03.2018 22:00","0","182"
"25.03.2018 22:00 - 25.03.2018 23:00","200","0"
"25.03.2018 23:00 - 26.03.2018 00:00","507","0"
"26.03.2018 00:00 - 26.03.2018 01:00","690","0"
"26.03.2018 01:00 - 26.03.2018 02:00","867","0"
"26.03.2018 02:00 - 26.03.2018 03:00","846","0"
"26.03.2018 03:00 - 26.03.2018 04:00","490","0"
"26.03.2018 04:00 - 26.03.2018 05:00","448","0"
"26.03.2018 05:00 - 26.03.2018 06:00","175","0"
"26.03.2018 06:00 - 26.03.2018 07:00","0","1"
"26.03.2018 07:00 - 26.03.2018 08:00","0","3"
"26.03.2018 08:00 - 26.03.2018 09:00","12","0"
"26.03.2018 09:00 - 26.03.2018 10:00","10","0"
"26.03.2018 10:00 - 26.03.2018 11:00","54","0"
"26.03.2018 11:00 - 26.03.2018 12:00","105","0"
"26.03.2018 12:00 - 26.03.2018 13:00","0","49"
"26.03.2018 13:00 - 26.03.2018 14:00","0","23"
"26.03.2018 14:00 - 26.03.2018 15:00","0","80"
"26.03.2018 15:00 - 26.03.2018 16:00","0","80"
"26.03.2018 16:00 - 26.03.2018 17:00","0","75"
"26.03.2018 17:00 - 26.03.2018 18:00","0","63"
"26.03.2018 18:00 - 26.03.2018 19:00","69","0"
"26.03.2018 19:00 - 26.03.2018 20:00","0","26"
"26.03.2018 20:00 - 26.03.2018 21:00","0","5"
"26.03.2018 21:00 - 26.03.2018 22:00","54","0"
"26.03.2018 22:00 - 26.03.2018 23:00","37","0"
"26.03.2018 23:00 - 27.03.2018 00:00","247","0"
"27.03.2018 00:00 - 27.03.2018 01:00","283","0"
"27.03.2018 01:00 - 27.03.2018 02:00","287","0"
"27.03.2018 02:00 - 27.03.2018 03:00","267","0"
"27.03.2018 03:00 - 27.03.2018 04:00","261","0"
"27.03.2018 04:00 - 27.03.2018 05:00","208","0"
"27.03.2018 05:00 - 27.03.2018 06:00","85","0"
"27.03.2018 06:00 - 27.03.2018 07:00","0","16"
"27.03.2018 07:00 - 27.03.2018 08:00","0","10"
"27.03.2018 08:00 - 27.03.2018 09:00","38","0"
"27.03.2018 09:00 - 27.03.2018 10:00","34","0"
"27.03.2018 10:00 - 27.03.2018 11:00","34","0"
"27.03.2018 11:00 - 27.03.2018 12:00","0","14"
"27.03.2018 12:00 - 27.03.2018 13:00","0","94"
"27.03.2018 13:00 - 27.03.2018 14:00","0","138"
"27.03.2018 14:00 - 27.03.2018 15:00","0","134"
"27.03.2018 15:00 - 27.03.2018 16:00","0","109"
"27.03.2018 16:00 - 27.03.2018 17:00","0","128"
"27.03.2018 17:00 - 27.03.2018 18:00","0","87"
"27.03.2018 18:00 - 27.03.2018 19:00","0","75"
"27.03.2018 19:00 - 27.03.2018 20:00","0","80"
"27.03.2018 20:00 - 27.03.2018 21:00","0","120"
"27.03.2018 21:00 - 27.03.2018 22:00","0","55"
"27.03.2018 22:00 - 27.03.2018 23:00","30","0"
"27.03.2018 23:00 - 28.03.2018 00:00","252","0"
"28.03.2018 00:00 - 28.03.2018 01:00","394","0"
"28.03.2018 01:00 - 28.03.2018 02:00","346","0"
"28.03.2018 02:00 - 28.03.2018 03:00","349","0"
"28.03.2018 03:00 - 28.03.2018 04:00","331","0"
"28.03.2018 04:00 - 28.03.2018 05:00","298","0"
"28.03.2018 05:00 - 28.03.2018 06:00","110","0"
"28.03.2018 06:00 - 28.03.2018 07:00","191","0"
"28.03.2018 07:00 - 28.03.2018 08:00","51","0"
"28.03.2018 08:00 - 28.03.2018 09:00","12","0"
"28.03.2018 09:00 - 28.03.2018 10:00","0","14"
"28.03.2018 10:00 - 28.03.2018 11:00","0","52"
"28.03.2018 11:00 - 28.03.2018 12:00","0","69"
"28.03.2018 12:00 - 28.03.2018 13:00","0","122"
"28.03.2018 13:00 - 28.03.2018 14:00","0","92"
"28.03.2018 14:00 - 28.03.2018 15:00","0","113"
"28.03.2018 15:00 - 28.03.2018 16:00","0","94"
"28.03.2018 16:00 - 28.03.2018 17:00","0","81"
"28.03.2018 17:00 - 28.03.2018 18:00","0","90"
"28.03.2018 18:00 - 28.03.2018 19:00","0","57"
"28.03.2018 19:00 - 28.03.2018 20:00","0","26"
"28.03.2018 20:00 - 28.03.2018 21:00","0","27"
"28.03.2018 21:00 - 28.03.2018 22:00","13","0"
"28.03.2018 22:00 - 28.03.2018 23:00","223","0"
"28.03.2018 23:00 - 29.03.2018 00:00","394","0"
"29.03.2018 00:00 - 29.03.2018 01:00","479","0"
"29.03.2018 01:00 - 29.03.2018 02:00","423","0"
"29.03.2018 02:00 - 29.03.2018 03:00","431","0"
"29.03.2018 03:00 - 29.03.2018 04:00","429","0"
"29.03.2018 04:00 - 29.03.2018 05:00","452","0"
"29.03.2018 05:00 - 29.03.2018 06:00","283","0"
"29.03.2018 06:00 - 29.03.2018 07:00","221","0"
"29.03.2018 07:00 - 29.03.2018 08:00","0","11"
"29.03.2018 08:00 - 29.03.2018 09:00","0","118"
"29.03.2018 09:00 - 29.03.2018 10:00","0","105"
"29.03.2018 10:00 - 29.03.2018 11:00","0","74"
"29.03.2018 11:00 - 29.03.2018 12:00","12","0"
"29.03.2018 12:00 - 29.03.2018 13:00","0","118"
"29.03.2018 13:00 - 29.03.2018 14:00","0","112"
"29.03.2018 14:00 - 29.03.2018 15:00","0","117"
"29.03.2018 15:00 - 29.03.2018 16:00","0","37"
"29.03.2018 16:00 - 29.03.2018 17:00","7","0"
"29.03.2018 17:00 - 29.03.2018 18:00","22","0"
"29.03.2018 18:00 - 29.03.2018 19:00","9","0"
"29.03.2018 19:00 - 29.03.2018 20:00","10","0"
"29.03.2018 20:00 - 29.03.2018 21:00","0","7"
"29.03.2018 21:00 - 29.03.2018 22:00","0","0"
"29.03.2018 22:00 - 29.03.2018 23:00","187","0"
"29.03.2018 23:00 - 30.03.2018 00:00","484","0"
"30.03.2018 00:00 - 30.03.2018 01:00","362","0"
"30.03.2018 01:00 - 30.03.2018 02:00","342","0"
"30.03.2018 02:00 - 30.03.2018 03:00","362","0"
"30.03.2018 03:00 - 30.03.2018 04:00","300","0"
"30.03.2018 04:00 - 30.03.2018 05:00","252","0"
"30.03.2018 05:00 - 30.03.2018 06:00","110","0"
"30.03.2018 06:00 - 30.03.2018 07:00","0","5"
"30.03.2018 07:00 - 30.03.2018 08:00","0","183"
"30.03.2018 08:00 - 30.03.2018 09:00","0","146"
"30.03.2018 09:00 - 30.03.2018 10:00","0","148"
"30.03.2018 10:00 - 30.03.2018 11:00","0","176"
"30.03.2018 11:00 - 30.03.2018 12:00","0","159"
"30.03.2018 12:00 - 30.03.2018 13:00","0","92"
"30.03.2018 13:00 - 30.03.2018 14:00","0","81"
"30.03.2018 14:00 - 30.03.2018 15:00","0","83"
"30.03.2018 15:00 - 30.03.2018 16:00","0","96"
"30.03.2018 16:00 - 30.03.2018 17:00","0","111"
"30.03.2018 17:00 - 30.03.2018 18:00","0","128"
"30.03.2018 18:00 - 30.03.2018 19:00","0","179"
"30.03.2018 19:00 - 30.03.2018 20:00","0","255"
"30.03.2018 20:00 - 30.03.2018 21:00","0","199"
"30.03.2018 21:00 - 30.03.2018 22:00","0","50"
"30.03.2018 22:00 - 30.03.2018 23:00","0","2"
"30.03.2018 23:00 - 31.03.2018 00:00","173","0"
"31.03.2018 00:00 - 31.03.2018 01:00","64","0"
"31.03.2018 01:00 - 31.03.2018 02:00","39","0"
"31.03.2018 02:00 - 31.03.2018 03:00","65","0"
"31.03.2018 03:00 - 31.03.2018 04:00","50","0"
"31.03.2018 04:00 - 31.03.2018 05:00","88","0"
"31.03.2018 05:00 - 31.03.2018 06:00","80","0"
"31.03.2018 06:00 - 31.03.2018 07:00","67","0"
"31.03.2018 07:00 - 31.03.2018 08:00","14","0"
"31.03.2018 08:00 - 31.03.2018 09:00","0","2"
"31.03.2018 09:00 - 31.03.2018 10:00","0","9"
"31.03.2018 10:00 - 31.03.2018 11:00","8","0"
"31.03.2018 11:00 - 31.03.2018 12:00","11","0"
"31.03.2018 12:00 - 31.03.2018 13:00","0","14"
"31.03.2018 13:00 - 31.03.2018 14:00","0","2"
"31.03.2018 14:00 - 31.03.2018 15:00","0","32"
"31.03.2018 15:00 - 31.03.2018 16:00","0","33"
"31.03.2018 16:00 - 31.03.2018 17:00","26","0"
"31.03.2018 17:00 - 31.03.2018 18:00","149","0"
"31.03.2018 18:00 - 31.03.2018 19:00","77","0"
"31.03.2018 19:00 - 31.03.2018 20:00","71","0"
"31.03.2018 20:00 - 31.03.2018 21:00","75","0"
"31.03.2018 21:00 - 31.03.2018 22:00","31","0"
"31.03.2018 22:00 - 31.03.2018 23:00","154","0"
"31.03.2018 23:00 - 01.04.2018 00:00","397","0"
"01.04.2018 00:00 - 01.04.2018 01:00","364","0"
"01.04.2018 01:00 - 01.04.2018 02:00","365","0"
"01.04.2018 02:00 - 01.04.2018 03:00","427","0"
"01.04.2018 03:00 - 01.04.2018 04:00","440","0"
"01.04.2018 04:00 - 01.04.2018 05:00","395","0"
"01.04.2018 05:00 - 01.04.2018 06:00","335","0"
"01.04.2018 06:00 - 01.04.2018 07:00","218","0"
"01.04.2018 07:00 - 01.04.2018 08:00","134","0"
"01.04.2018 08:00 - 01.04.2018 09:00","114","0"
"01.04.2018 09:00 - 01.04.2018 10:00","96","0"
"01.04.2018 10:00 - 01.04.2018 11:00","105","0"
"01.04.2018 11:00 - 01.04.2018 12:00","72","0"
"01.04.2018 12:00 - 01.04.2018 13:00","67","0"
"01.04.2018 13:00 - 01.04.2018 14:00","69","0"
"01.04.2018 14:00 - 01.04.2018 15:00","102","0"
"01.04.2018 15:00 - 01.04.2018 16:00","81","0"
"01.04.2018 16:00 - 01.04.2018 17:00","108","0"
"01.04.2018 17:00 - 01.04.2018 18:00","73","0"
"01.04.2018 18:00 - 01.04.2018 19:00","27","0"
"01.04.2018 19:00 - 01.04.2018 20:00","21","0"
"01.04.2018 20:00 - 01.04.2018 21:00","4","0"
"01.04.2018 21:00 - 01.04.2018 22:00","0","2"
"01.04.2018 22:00 - 01.04.2018 23:00","79","0"
"01.04.2018 23:00 - 02.04.2018 00:00","306","0"
"02.04.2018 00:00 - 02.04.2018 01:00","399","0"
"02.04.2018 01:00 - 02.04.2018 02:00","306","0"
"02.04.2018 02:00 - 02.04.2018 03:00","303","0"
"02.04.2018 03:00 - 02.04.2018 04:00","237","0"
"02.04.2018 04:00 - 02.04.2018 05:00","186","0"
"02.04.2018 05:00 - 02.04.2018 06:00","188","0"
"02.04.2018 06:00 - 02.04.2018 07:00","139","0"
"02.04.2018 07:00 - 02.04.2018 08:00","125","0"
"02.04.2018 08:00 - 02.04.2018 09:00","102","0"
"02.04.2018 09:00 - 02.04.2018 10:00","78","0"
"02.04.2018 10:00 - 02.04.2018 11:00","93","0"
"02.04.2018 11:00 - 02.04.2018 12:00","140","0"
"02.04.2018 12:00 - 02.04.2018 13:00","89","0"
"02.04.2018 13:00 - 02.04.2018 14:00","110","0"
"02.04.2018 14:00 - 02.04.2018 15:00","119","0"
"02.04.2018 15:00 - 02.04.2018 16:00","142","0"
"02.04.2018 16:00 - 02.04.2018 17:00","132","0"
"02.04.2018 17:00 - 02.04.2018 18:00","128","0"
"02.04.2018 18:00 - 02.04.2018 19:00","116","0"
"02.04.2018 19:00 - 02.04.2018 20:00","31","0"
"02.04.2018 20:00 - 02.04.2018 21:00","0","4"
"02.04.2018 21:00 - 02.04.2018 22:00","0","64"
"02.04.2018 22:00 - 02.04.2018 23:00","98","0"
"02.04.2018 23:00 - 03.04.2018 00:00","239","0"
"03.04.2018 00:00 - 03.04.2018 01:00","284","0"
"03.04.2018 01:00 - 03.04.2018 02:00","307","0"
"03.04.2018 02:00 - 03.04.2018 03:00","303","0"
"03.04.2018 03:00 - 03.04.2018 04:00","283","0"
"03.04.2018 04:00 - 03.04.2018 05:00","164","0"
"03.04.2018 05:00 - 03.04.2018 06:00","88","0"
"03.04.2018 06:00 - 03.04.2018 07:00","9","0"
"03.04.2018 07:00 - 03.04.2018 08:00","0","90"
"03.04.2018 08:00 - 03.04.2018 09:00","0","128"
"03.04.2018 09:00 - 03.04.2018 10:00","0","196"
"03.04.2018 10:00 - 03.04.2018 11:00","0","103"
"03.04.2018 11:00 - 03.04.2018 12:00","0","129"
"03.04.2018 12:00 - 03.04.2018 13:00","0","137"
"03.04.2018 13:00 - 03.04.2018 14:00","0","154"
"03.04.2018 14:00 - 03.04.2018 15:00","0","179"
"03.04.2018 15:00 - 03.04.2018 16:00","0","144"
"03.04.2018 16:00 - 03.04.2018 17:00","0","128"
"03.04.2018 17:00 - 03.04.2018 18:00","0","73"
"03.04.2018 18:00 - 03.04.2018 19:00","0","150"
"03.04.2018 19:00 - 03.04.2018 20:00","0","166"
"03.04.2018 20:00 - 03.04.2018 21:00","0","176"
"03.04.2018 21:00 - 03.04.2018 22:00","0","139"
"03.04.2018 22:00 - 03.04.2018 23:00","82","0"
"03.04.2018 23:00 - 04.04.2018 00:00","190","0"
"04.04.2018 00:00 - 04.04.2018 01:00","317","0"
"04.04.2018 01:00 - 04.04.2018 02:00","434","0"
"04.04.2018 02:00 - 04.04.2018 03:00","402","0"
"04.04.2018 03:00 - 04.04.2018 04:00","411","0"
"04.04.2018 04:00 - 04.04.2018 05:00","310","0"
"04.04.2018 05:00 - 04.04.2018 06:00","219","0"
"04.04.2018 06:00 - 04.04.2018 07:00","113","0"
"04.04.2018 07:00 - 04.04.2018 08:00","0","56"
"04.04.2018 08:00 - 04.04.2018 09:00","0","113"
"04.04.2018 09:00 - 04.04.2018 10:00","0","165"
"04.04.2018 10:00 - 04.04.2018 11:00","0","157"
"04.04.2018 11:00 - 04.04.2018 12:00","0","6"
"04.04.2018 12:00 - 04.04.2018 13:00","0","100"
"04.04.2018 13:00 - 04.04.2018 14:00","0","175"
"04.04.2018 14:00 - 04.04.2018 15:00","0","50"
"04.04.2018 15:00 - 04.04.2018 16:00","0","42"
"04.04.2018 16:00 - 04.04.2018 17:00","0","138"
"04.04.2018 17:00 - 04.04.2018 18:00","0","127"
"04.04.2018 18:00 - 04.04.2018 19:00","0","84"
"04.04.2018 19:00 - 04.04.2018 20:00","0","125"
"04.04.2018 20:00 - 04.04.2018 21:00","25","0"
"04.04.2018 21:00 - 04.04.2018 22:00","21","0"
"04.04.2018 22:00 - 04.04.2018 23:00","56","0"
"04.04.2018 23:00 - 05.04.2018 00:00","327","0"
"05.04.2018 00:00 - 05.04.2018 01:00","380","0"
"05.04.2018 01:00 - 05.04.2018 02:00","394","0"
"05.04.2018 02:00 - 05.04.2018 03:00","387","0"
"05.04.2018 03:00 - 05.04.2018 04:00","328","0"
"05.04.2018 04:00 - 05.04.2018 05:00","282","0"
"05.04.2018 05:00 - 05.04.2018 06:00","234","0"
"05.04.2018 06:00 - 05.04.2018 07:00","167","0"
"05.04.2018 07:00 - 05.04.2018 08:00","48","0"
"05.04.2018 08:00 - 05.04.2018 09:00","26","0"
"05.04.2018 09:00 - 05.04.2018 10:00","0","51"
"05.04.2018 10:00 - 05.04.2018 11:00","3","0"
"05.04.2018 11:00 - 05.04.2018 12:00","44","0"
"05.04.2018 12:00 - 05.04.2018 13:00","28","0"
"05.04.2018 13:00 - 05.04.2018 14:00","3","0"
"05.04.2018 14:00 - 05.04.2018 15:00","5","0"
"05.04.2018 15:00 - 05.04.2018 16:00","70","0"
"05.04.2018 16:00 - 05.04.2018 17:00","36","0"
"05.04.2018 17:00 - 05.04.2018 18:00","38","0"
"05.04.2018 18:00 - 05.04.2018 19:00","42","0"
