"Time (CET)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"17.11.2019 14:30 - 17.11.2019 14:45","6004","6627"
"17.11.2019 14:45 - 17.11.2019 15:00","6000","6592"
"17.11.2019 15:00 - 17.11.2019 15:15","6004","6638"
"17.11.2019 15:15 - 17.11.2019 15:30","6016","6664"
"17.11.2019 15:30 - 17.11.2019 15:45","6040","6689"
"17.11.2019 15:45 - 17.11.2019 16:00","6088","6758"
"17.11.2019 16:00 - 17.11.2019 16:15","6164","6853"
"17.11.2019 16:15 - 17.11.2019 16:30","6260","6951"
"17.11.2019 16:30 - 17.11.2019 16:45","6396","7110"
"17.11.2019 16:45 - 17.11.2019 17:00","6532","7229"
"17.11.2019 17:00 - 17.11.2019 17:15","6636","7376"
"17.11.2019 17:15 - 17.11.2019 17:30","6724","7443"
"17.11.2019 17:30 - 17.11.2019 17:45","6776","7467"
"17.11.2019 17:45 - 17.11.2019 18:00","6820","7512"
"17.11.2019 18:00 - 17.11.2019 18:15","6872","7507"
"17.11.2019 18:15 - 17.11.2019 18:30","6876","7468"
"17.11.2019 18:30 - 17.11.2019 18:45","6876","7429"
"17.11.2019 18:45 - 17.11.2019 19:00","6860","7345"
"17.11.2019 19:00 - 17.11.2019 19:15","6764","7142"
"17.11.2019 19:15 - 17.11.2019 19:30","6716","7068"
"17.11.2019 19:30 - 17.11.2019 19:45","6664","6993"
"17.11.2019 19:45 - 17.11.2019 20:00","6600","6923"
"17.11.2019 20:00 - 17.11.2019 20:15","6532","6860"
"17.11.2019 20:15 - 17.11.2019 20:30","6432","6749"
"17.11.2019 20:30 - 17.11.2019 20:45","6340","6688"
"17.11.2019 20:45 - 17.11.2019 21:00","6240","6590"
"17.11.2019 21:00 - 17.11.2019 21:15","6168","6481"
"17.11.2019 21:15 - 17.11.2019 21:30","6084","6420"
"17.11.2019 21:30 - 17.11.2019 21:45","5996","6335"
"17.11.2019 21:45 - 17.11.2019 22:00","5972","6348"
"17.11.2019 22:00 - 17.11.2019 22:15","6196","6621"
"17.11.2019 22:15 - 17.11.2019 22:30","6164","6579"
"17.11.2019 22:30 - 17.11.2019 22:45","6036","6439"
"17.11.2019 22:45 - 17.11.2019 23:00","5936","6342"
"17.11.2019 23:00 - 17.11.2019 23:15","5904","6250"
"17.11.2019 23:15 - 17.11.2019 23:30","5768","6142"
"17.11.2019 23:30 - 17.11.2019 23:45","5652","6077"
"17.11.2019 23:45 - 18.11.2019 00:00","5576","5999"
"18.11.2019 00:00 - 18.11.2019 00:15","6232","6098"
"18.11.2019 00:15 - 18.11.2019 00:30","6128","5919"
"18.11.2019 00:30 - 18.11.2019 00:45","6024","5852"
"18.11.2019 00:45 - 18.11.2019 01:00","5936","5776"
"18.11.2019 01:00 - 18.11.2019 01:15","5944","5802"
"18.11.2019 01:15 - 18.11.2019 01:30","5872","5756"
"18.11.2019 01:30 - 18.11.2019 01:45","5812","5726"
"18.11.2019 01:45 - 18.11.2019 02:00","5756","5715"
"18.11.2019 02:00 - 18.11.2019 02:15","5856","5703"
"18.11.2019 02:15 - 18.11.2019 02:30","5804","5656"
"18.11.2019 02:30 - 18.11.2019 02:45","5760","5622"
"18.11.2019 02:45 - 18.11.2019 03:00","5720","5580"
"18.11.2019 03:00 - 18.11.2019 03:15","5720","5596"
"18.11.2019 03:15 - 18.11.2019 03:30","5708","5546"
"18.11.2019 03:30 - 18.11.2019 03:45","5716","5580"
"18.11.2019 03:45 - 18.11.2019 04:00","5732","5583"
"18.11.2019 04:00 - 18.11.2019 04:15","5796","5723"
"18.11.2019 04:15 - 18.11.2019 04:30","5852","5831"
"18.11.2019 04:30 - 18.11.2019 04:45","5936","5887"
"18.11.2019 04:45 - 18.11.2019 05:00","6052","5978"
"18.11.2019 05:00 - 18.11.2019 05:15","6200","6276"
"18.11.2019 05:15 - 18.11.2019 05:30","6396","6494"
"18.11.2019 05:30 - 18.11.2019 05:45","6616","6732"
"18.11.2019 05:45 - 18.11.2019 06:00","6892","6978"
"18.11.2019 06:00 - 18.11.2019 06:15","7224","7438"
"18.11.2019 06:15 - 18.11.2019 06:30","7552","7813"
"18.11.2019 06:30 - 18.11.2019 06:45","7816","7978"
"18.11.2019 06:45 - 18.11.2019 07:00","8028","8168"
"18.11.2019 07:00 - 18.11.2019 07:15","8336","8595"
"18.11.2019 07:15 - 18.11.2019 07:30","8476","8729"
"18.11.2019 07:30 - 18.11.2019 07:45","8580","8807"
"18.11.2019 07:45 - 18.11.2019 08:00","8660","8879"
"18.11.2019 08:00 - 18.11.2019 08:15","8752","8976"
"18.11.2019 08:15 - 18.11.2019 08:30","8792","9034"
"18.11.2019 08:30 - 18.11.2019 08:45","8812","9060"
"18.11.2019 08:45 - 18.11.2019 09:00","8816","9104"
"18.11.2019 09:00 - 18.11.2019 09:15","8772","9036"
"18.11.2019 09:15 - 18.11.2019 09:30","8788","9048"
"18.11.2019 09:30 - 18.11.2019 09:45","8812","9066"
"18.11.2019 09:45 - 18.11.2019 10:00","8812","9061"
"18.11.2019 10:00 - 18.11.2019 10:15","8812","9111"
"18.11.2019 10:15 - 18.11.2019 10:30","8824","9072"
"18.11.2019 10:30 - 18.11.2019 10:45","8836","9076"
"18.11.2019 10:45 - 18.11.2019 11:00","8856","9097"
"18.11.2019 11:00 - 18.11.2019 11:15","8844","9082"
"18.11.2019 11:15 - 18.11.2019 11:30","8864","9134"
"18.11.2019 11:30 - 18.11.2019 11:45","8848","9090"
"18.11.2019 11:45 - 18.11.2019 12:00","8800","9013"
"18.11.2019 12:00 - 18.11.2019 12:15","8752","8918"
"18.11.2019 12:15 - 18.11.2019 12:30","8652","8816"
"18.11.2019 12:30 - 18.11.2019 12:45","8612","8745"
"18.11.2019 12:45 - 18.11.2019 13:00","8596","8711"
"18.11.2019 13:00 - 18.11.2019 13:15","8616","8760"
"18.11.2019 13:15 - 18.11.2019 13:30","8604","8756"
"18.11.2019 13:30 - 18.11.2019 13:45","8576","8748"
"18.11.2019 13:45 - 18.11.2019 14:00","8548","8682"
"18.11.2019 14:00 - 18.11.2019 14:15","8532","8713"
"18.11.2019 14:15 - 18.11.2019 14:30","8540","8706"
"18.11.2019 14:30 - 18.11.2019 14:45","8540","8680"
"18.11.2019 14:45 - 18.11.2019 15:00","8528","8710"
"18.11.2019 15:00 - 18.11.2019 15:15","8544","8784"
"18.11.2019 15:15 - 18.11.2019 15:30","8560","8758"
"18.11.2019 15:30 - 18.11.2019 15:45","8568","8812"
"18.11.2019 15:45 - 18.11.2019 16:00","8600","8901"
"18.11.2019 16:00 - 18.11.2019 16:15","8624","8962"
"18.11.2019 16:15 - 18.11.2019 16:30","8684","9101"
"18.11.2019 16:30 - 18.11.2019 16:45","8760","9311"
"18.11.2019 16:45 - 18.11.2019 17:00","8852","9390"
"18.11.2019 17:00 - 18.11.2019 17:15","8908","9456"
"18.11.2019 17:15 - 18.11.2019 17:30","8952","9477"
"18.11.2019 17:30 - 18.11.2019 17:45","8968","9452"
"18.11.2019 17:45 - 18.11.2019 18:00","8960","9506"
"18.11.2019 18:00 - 18.11.2019 18:15","8912","9424"
"18.11.2019 18:15 - 18.11.2019 18:30","8860","9342"
"18.11.2019 18:30 - 18.11.2019 18:45","8812","9336"
"18.11.2019 18:45 - 18.11.2019 19:00","8744","9281"
"18.11.2019 19:00 - 18.11.2019 19:15","8568","9011"
"18.11.2019 19:15 - 18.11.2019 19:30","8452","8888"
"18.11.2019 19:30 - 18.11.2019 19:45","8344","8729"
"18.11.2019 19:45 - 18.11.2019 20:00","8212","8551"
"18.11.2019 20:00 - 18.11.2019 20:15","8060","8435"
"18.11.2019 20:15 - 18.11.2019 20:30","7912","8284"
"18.11.2019 20:30 - 18.11.2019 20:45","7772","8158"
"18.11.2019 20:45 - 18.11.2019 21:00","7636","8032"
"18.11.2019 21:00 - 18.11.2019 21:15","7504","7832"
"18.11.2019 21:15 - 18.11.2019 21:30","7364","7680"
"18.11.2019 21:30 - 18.11.2019 21:45","7224","7524"
"18.11.2019 21:45 - 18.11.2019 22:00","7108","7414"
"18.11.2019 22:00 - 18.11.2019 22:15","7236","7483"
"18.11.2019 22:15 - 18.11.2019 22:30","7140","7363"
"18.11.2019 22:30 - 18.11.2019 22:45","6964","7248"
"18.11.2019 22:45 - 18.11.2019 23:00","6824","7174"
"18.11.2019 23:00 - 18.11.2019 23:15","6732","7055"
"18.11.2019 23:15 - 18.11.2019 23:30","6576","6898"
"18.11.2019 23:30 - 18.11.2019 23:45","6436","6805"
"18.11.2019 23:45 - 19.11.2019 00:00","6324","6641"
"19.11.2019 00:00 - 19.11.2019 00:15","6232","6631"
"19.11.2019 00:15 - 19.11.2019 00:30","6128","6572"
"19.11.2019 00:30 - 19.11.2019 00:45","6024","6483"
"19.11.2019 00:45 - 19.11.2019 01:00","5936","6439"
"19.11.2019 01:00 - 19.11.2019 01:15","5944","6404"
"19.11.2019 01:15 - 19.11.2019 01:30","5872","6330"
"19.11.2019 01:30 - 19.11.2019 01:45","5812","6265"
"19.11.2019 01:45 - 19.11.2019 02:00","5756","6227"
"19.11.2019 02:00 - 19.11.2019 02:15","5856","6250"
"19.11.2019 02:15 - 19.11.2019 02:30","5804","6242"
"19.11.2019 02:30 - 19.11.2019 02:45","5760","6214"
"19.11.2019 02:45 - 19.11.2019 03:00","5720","6167"
"19.11.2019 03:00 - 19.11.2019 03:15","5720","6158"
"19.11.2019 03:15 - 19.11.2019 03:30","5708","6142"
"19.11.2019 03:30 - 19.11.2019 03:45","5716","6136"
"19.11.2019 03:45 - 19.11.2019 04:00","5732","6130"
"19.11.2019 04:00 - 19.11.2019 04:15","5796","6217"
"19.11.2019 04:15 - 19.11.2019 04:30","5852","6289"
"19.11.2019 04:30 - 19.11.2019 04:45","5936","6316"
"19.11.2019 04:45 - 19.11.2019 05:00","6052","6422"
"19.11.2019 05:00 - 19.11.2019 05:15","6200","6702"
"19.11.2019 05:15 - 19.11.2019 05:30","6396","6887"
"19.11.2019 05:30 - 19.11.2019 05:45","6616","7128"
"19.11.2019 05:45 - 19.11.2019 06:00","6892","7392"
"19.11.2019 06:00 - 19.11.2019 06:15","7224","7781"
"19.11.2019 06:15 - 19.11.2019 06:30","7552","8118"
"19.11.2019 06:30 - 19.11.2019 06:45","7816","8375"
"19.11.2019 06:45 - 19.11.2019 07:00","8028","8592"
"19.11.2019 07:00 - 19.11.2019 07:15","8336","8962"
"19.11.2019 07:15 - 19.11.2019 07:30","8476","9067"
"19.11.2019 07:30 - 19.11.2019 07:45","8580","9121"
"19.11.2019 07:45 - 19.11.2019 08:00","8660","9164"
"19.11.2019 08:00 - 19.11.2019 08:15","8752","9252"
"19.11.2019 08:15 - 19.11.2019 08:30","8792","9290"
"19.11.2019 08:30 - 19.11.2019 08:45","8812","9270"
"19.11.2019 08:45 - 19.11.2019 09:00","8816","9250"
"19.11.2019 09:00 - 19.11.2019 09:15","8772","9206"
"19.11.2019 09:15 - 19.11.2019 09:30","8788","9171"
"19.11.2019 09:30 - 19.11.2019 09:45","8812","9221"
"19.11.2019 09:45 - 19.11.2019 10:00","8812","9178"
"19.11.2019 10:00 - 19.11.2019 10:15","8812","9171"
"19.11.2019 10:15 - 19.11.2019 10:30","8824","9194"
"19.11.2019 10:30 - 19.11.2019 10:45","8836","9172"
"19.11.2019 10:45 - 19.11.2019 11:00","8856","9155"
"19.11.2019 11:00 - 19.11.2019 11:15","8844","9132"
"19.11.2019 11:15 - 19.11.2019 11:30","8864","9175"
"19.11.2019 11:30 - 19.11.2019 11:45","8848","9159"
"19.11.2019 11:45 - 19.11.2019 12:00","8800","9064"
"19.11.2019 12:00 - 19.11.2019 12:15","8752","9028"
"19.11.2019 12:15 - 19.11.2019 12:30","8652","8900"
"19.11.2019 12:30 - 19.11.2019 12:45","8612","8852"
"19.11.2019 12:45 - 19.11.2019 13:00","8596","8832"
"19.11.2019 13:00 - 19.11.2019 13:15","8616","8948"
"19.11.2019 13:15 - 19.11.2019 13:30","8604","8939"
"19.11.2019 13:30 - 19.11.2019 13:45","8576","8923"
"19.11.2019 13:45 - 19.11.2019 14:00","8548","8856"
"19.11.2019 14:00 - 19.11.2019 14:15","8532","8868"
"19.11.2019 14:15 - 19.11.2019 14:30","8540","8896"
"19.11.2019 14:30 - 19.11.2019 14:45","8540","8906"
"19.11.2019 14:45 - 19.11.2019 15:00","8528","8882"
"19.11.2019 15:00 - 19.11.2019 15:15","8544","8889"
"19.11.2019 15:15 - 19.11.2019 15:30","8560","8918"
"19.11.2019 15:30 - 19.11.2019 15:45","8568","8960"
"19.11.2019 15:45 - 19.11.2019 16:00","8600","9009"
"19.11.2019 16:00 - 19.11.2019 16:15","8624","9130"
"19.11.2019 16:15 - 19.11.2019 16:30","8684","9232"
"19.11.2019 16:30 - 19.11.2019 16:45","8760","9352"
"19.11.2019 16:45 - 19.11.2019 17:00","8852","9416"
"19.11.2019 17:00 - 19.11.2019 17:15","8908","9470"
"19.11.2019 17:15 - 19.11.2019 17:30","8952","9496"
"19.11.2019 17:30 - 19.11.2019 17:45","8968","9473"
"19.11.2019 17:45 - 19.11.2019 18:00","8960","9474"
"19.11.2019 18:00 - 19.11.2019 18:15","8912","9385"
"19.11.2019 18:15 - 19.11.2019 18:30","8860","9277"
"19.11.2019 18:30 - 19.11.2019 18:45","8812","9244"
"19.11.2019 18:45 - 19.11.2019 19:00","8744","9153"
"19.11.2019 19:00 - 19.11.2019 19:15","8568","8873"
"19.11.2019 19:15 - 19.11.2019 19:30","8452","8750"
"19.11.2019 19:30 - 19.11.2019 19:45","8344","8577"
"19.11.2019 19:45 - 19.11.2019 20:00","8212","8434"
"19.11.2019 20:00 - 19.11.2019 20:15","8060","8308"
"19.11.2019 20:15 - 19.11.2019 20:30","7912","8184"
"19.11.2019 20:30 - 19.11.2019 20:45","7772","8057"
"19.11.2019 20:45 - 19.11.2019 21:00","7636","7876"
"19.11.2019 21:00 - 19.11.2019 21:15","7504","7747"
"19.11.2019 21:15 - 19.11.2019 21:30","7364","7585"
"19.11.2019 21:30 - 19.11.2019 21:45","7224","7422"
"19.11.2019 21:45 - 19.11.2019 22:00","7108","7260"
"19.11.2019 22:00 - 19.11.2019 22:15","7236","7429"
"19.11.2019 22:15 - 19.11.2019 22:30","7140","7326"
"19.11.2019 22:30 - 19.11.2019 22:45","6964","7206"
"19.11.2019 22:45 - 19.11.2019 23:00","6824","7080"
"19.11.2019 23:00 - 19.11.2019 23:15","6732","6980"
"19.11.2019 23:15 - 19.11.2019 23:30","6576","6842"
"19.11.2019 23:30 - 19.11.2019 23:45","6436","6730"
"19.11.2019 23:45 - 20.11.2019 00:00","6324","6595"
"20.11.2019 00:00 - 20.11.2019 00:15","6260","6565"
"20.11.2019 00:15 - 20.11.2019 00:30","6156","6462"
"20.11.2019 00:30 - 20.11.2019 00:45","6052","6361"
"20.11.2019 00:45 - 20.11.2019 01:00","5964","6260"
"20.11.2019 01:00 - 20.11.2019 01:15","5968","6237"
"20.11.2019 01:15 - 20.11.2019 01:30","5896","6231"
"20.11.2019 01:30 - 20.11.2019 01:45","5836","6146"
"20.11.2019 01:45 - 20.11.2019 02:00","5780","6064"
"20.11.2019 02:00 - 20.11.2019 02:15","5900","6149"
"20.11.2019 02:15 - 20.11.2019 02:30","5852","6123"
"20.11.2019 02:30 - 20.11.2019 02:45","5808","6080"
"20.11.2019 02:45 - 20.11.2019 03:00","5768","6044"
"20.11.2019 03:00 - 20.11.2019 03:15","5768","6028"
"20.11.2019 03:15 - 20.11.2019 03:30","5756","5991"
"20.11.2019 03:30 - 20.11.2019 03:45","5760","5974"
"20.11.2019 03:45 - 20.11.2019 04:00","5776","5999"
"20.11.2019 04:00 - 20.11.2019 04:15","5836","6083"
"20.11.2019 04:15 - 20.11.2019 04:30","5896","6115"
"20.11.2019 04:30 - 20.11.2019 04:45","5976","6234"
"20.11.2019 04:45 - 20.11.2019 05:00","6096","6304"
"20.11.2019 05:00 - 20.11.2019 05:15","6256","6543"
"20.11.2019 05:15 - 20.11.2019 05:30","6444","6723"
"20.11.2019 05:30 - 20.11.2019 05:45","6672","6889"
"20.11.2019 05:45 - 20.11.2019 06:00","6940","7176"
"20.11.2019 06:00 - 20.11.2019 06:15","7264","7669"
"20.11.2019 06:15 - 20.11.2019 06:30","7588","7961"
"20.11.2019 06:30 - 20.11.2019 06:45","7856","8228"
"20.11.2019 06:45 - 20.11.2019 07:00","8068","8438"
"20.11.2019 07:00 - 20.11.2019 07:15","8376","8864"
"20.11.2019 07:15 - 20.11.2019 07:30","8520","9070"
"20.11.2019 07:30 - 20.11.2019 07:45","8624","9135"
"20.11.2019 07:45 - 20.11.2019 08:00","8712","9226"
"20.11.2019 08:00 - 20.11.2019 08:15","8804","9300"
"20.11.2019 08:15 - 20.11.2019 08:30","8848","9375"
"20.11.2019 08:30 - 20.11.2019 08:45","8868","9402"
"20.11.2019 08:45 - 20.11.2019 09:00","8872","9379"
"20.11.2019 09:00 - 20.11.2019 09:15","8824","9288"
"20.11.2019 09:15 - 20.11.2019 09:30","8840","9353"
"20.11.2019 09:30 - 20.11.2019 09:45","8860","9416"
"20.11.2019 09:45 - 20.11.2019 10:00","8860","9418"
"20.11.2019 10:00 - 20.11.2019 10:15","8852","9440"
"20.11.2019 10:15 - 20.11.2019 10:30","8864","9506"
"20.11.2019 10:30 - 20.11.2019 10:45","8876","9494"
"20.11.2019 10:45 - 20.11.2019 11:00","8892","9540"
"20.11.2019 11:00 - 20.11.2019 11:15","8876","9528"
"20.11.2019 11:15 - 20.11.2019 11:30","8896","9575"
"20.11.2019 11:30 - 20.11.2019 11:45","8880","9554"
"20.11.2019 11:45 - 20.11.2019 12:00","8832","9494"
"20.11.2019 12:00 - 20.11.2019 12:15","8780","9476"
"20.11.2019 12:15 - 20.11.2019 12:30","8680","9441"
"20.11.2019 12:30 - 20.11.2019 12:45","8640","9340"
"20.11.2019 12:45 - 20.11.2019 13:00","8628","9334"
"20.11.2019 13:00 - 20.11.2019 13:15","8644","9435"
"20.11.2019 13:15 - 20.11.2019 13:30","8636","9446"
"20.11.2019 13:30 - 20.11.2019 13:45","8608","9410"
"20.11.2019 13:45 - 20.11.2019 14:00","8580","9342"
"20.11.2019 14:00 - 20.11.2019 14:15","8572","9384"
"20.11.2019 14:15 - 20.11.2019 14:30","8576","9398"
"20.11.2019 14:30 - 20.11.2019 14:45","8576","9345"
"20.11.2019 14:45 - 20.11.2019 15:00","8568","9376"
"20.11.2019 15:00 - 20.11.2019 15:15","8584","9383"
"20.11.2019 15:15 - 20.11.2019 15:30","8596","9365"
"20.11.2019 15:30 - 20.11.2019 15:45","8608","9398"
"20.11.2019 15:45 - 20.11.2019 16:00","8640","9437"
"20.11.2019 16:00 - 20.11.2019 16:15","8680","9493"
"20.11.2019 16:15 - 20.11.2019 16:30","8740","9595"
"20.11.2019 16:30 - 20.11.2019 16:45","8820","9630"
"20.11.2019 16:45 - 20.11.2019 17:00","8904","9726"
"20.11.2019 17:00 - 20.11.2019 17:15","8960","9713"
"20.11.2019 17:15 - 20.11.2019 17:30","9000","9646"
"20.11.2019 17:30 - 20.11.2019 17:45","9012","9652"
"20.11.2019 17:45 - 20.11.2019 18:00","9004","9623"
"20.11.2019 18:00 - 20.11.2019 18:15","8960","9461"
"20.11.2019 18:15 - 20.11.2019 18:30","8908","9408"
"20.11.2019 18:30 - 20.11.2019 18:45","8860","9367"
"20.11.2019 18:45 - 20.11.2019 19:00","8792","9255"
"20.11.2019 19:00 - 20.11.2019 19:15","8612","8996"
"20.11.2019 19:15 - 20.11.2019 19:30","8500","8806"
"20.11.2019 19:30 - 20.11.2019 19:45","8388","8680"
"20.11.2019 19:45 - 20.11.2019 20:00","8260","8583"
"20.11.2019 20:00 - 20.11.2019 20:15","8104","8421"
"20.11.2019 20:15 - 20.11.2019 20:30","7952","8255"
"20.11.2019 20:30 - 20.11.2019 20:45","7812","8160"
"20.11.2019 20:45 - 20.11.2019 21:00","7676","8014"
"20.11.2019 21:00 - 20.11.2019 21:15","7548","7836"
"20.11.2019 21:15 - 20.11.2019 21:30","7404","7672"
"20.11.2019 21:30 - 20.11.2019 21:45","7264","7576"
"20.11.2019 21:45 - 20.11.2019 22:00","7144","7489"
"20.11.2019 22:00 - 20.11.2019 22:15","7268","7550"
"20.11.2019 22:15 - 20.11.2019 22:30","7176","7448"
"20.11.2019 22:30 - 20.11.2019 22:45","7004","7311"
"20.11.2019 22:45 - 20.11.2019 23:00","6864","7172"
"20.11.2019 23:00 - 20.11.2019 23:15","6776","7037"
"20.11.2019 23:15 - 20.11.2019 23:30","6620","6885"
"20.11.2019 23:30 - 20.11.2019 23:45","6480","6765"
"20.11.2019 23:45 - 21.11.2019 00:00","6348","6685"
"21.11.2019 00:00 - 21.11.2019 00:15","6236","6679"
"21.11.2019 00:15 - 21.11.2019 00:30","6136","6525"
"21.11.2019 00:30 - 21.11.2019 00:45","6028","6424"
"21.11.2019 00:45 - 21.11.2019 01:00","5940","6319"
"21.11.2019 01:00 - 21.11.2019 01:15","5944","6279"
"21.11.2019 01:15 - 21.11.2019 01:30","5872","6236"
"21.11.2019 01:30 - 21.11.2019 01:45","5812","6192"
"21.11.2019 01:45 - 21.11.2019 02:00","5756","6087"
"21.11.2019 02:00 - 21.11.2019 02:15","5880","6102"
"21.11.2019 02:15 - 21.11.2019 02:30","5828","6130"
"21.11.2019 02:30 - 21.11.2019 02:45","5784","6058"
"21.11.2019 02:45 - 21.11.2019 03:00","5748","6060"
"21.11.2019 03:00 - 21.11.2019 03:15","5752","6003"
"21.11.2019 03:15 - 21.11.2019 03:30","5740","5947"
"21.11.2019 03:30 - 21.11.2019 03:45","5744","5968"
"21.11.2019 03:45 - 21.11.2019 04:00","5760","5987"
"21.11.2019 04:00 - 21.11.2019 04:15","5824","6082"
"21.11.2019 04:15 - 21.11.2019 04:30","5884","6166"
"21.11.2019 04:30 - 21.11.2019 04:45","5968","6253"
"21.11.2019 04:45 - 21.11.2019 05:00","6084","6371"
"21.11.2019 05:00 - 21.11.2019 05:15","6244","6532"
"21.11.2019 05:15 - 21.11.2019 05:30","6432","6686"
"21.11.2019 05:30 - 21.11.2019 05:45","6660","6886"
"21.11.2019 05:45 - 21.11.2019 06:00","6928","7151"
"21.11.2019 06:00 - 21.11.2019 06:15","7260","7551"
"21.11.2019 06:15 - 21.11.2019 06:30","7584","7878"
"21.11.2019 06:30 - 21.11.2019 06:45","7848","8146"
"21.11.2019 06:45 - 21.11.2019 07:00","8060","8372"
"21.11.2019 07:00 - 21.11.2019 07:15","8372","8814"
"21.11.2019 07:15 - 21.11.2019 07:30","8520","8940"
"21.11.2019 07:30 - 21.11.2019 07:45","8628","9006"
"21.11.2019 07:45 - 21.11.2019 08:00","8720","9104"
"21.11.2019 08:00 - 21.11.2019 08:15","8808","9169"
"21.11.2019 08:15 - 21.11.2019 08:30","8848","9224"
"21.11.2019 08:30 - 21.11.2019 08:45","8868","9288"
"21.11.2019 08:45 - 21.11.2019 09:00","8872","9235"
"21.11.2019 09:00 - 21.11.2019 09:15","8824","9138"
"21.11.2019 09:15 - 21.11.2019 09:30","8840","9192"
"21.11.2019 09:30 - 21.11.2019 09:45","8852","9234"
"21.11.2019 09:45 - 21.11.2019 10:00","8848","9236"
"21.11.2019 10:00 - 21.11.2019 10:15","8840","9282"
"21.11.2019 10:15 - 21.11.2019 10:30","8852","9311"
"21.11.2019 10:30 - 21.11.2019 10:45","8860","9310"
"21.11.2019 10:45 - 21.11.2019 11:00","8880","9294"
"21.11.2019 11:00 - 21.11.2019 11:15","8864","9244"
"21.11.2019 11:15 - 21.11.2019 11:30","8884","9255"
"21.11.2019 11:30 - 21.11.2019 11:45","8868","9233"
"21.11.2019 11:45 - 21.11.2019 12:00","8820","9202"
"21.11.2019 12:00 - 21.11.2019 12:15","8768","9150"
"21.11.2019 12:15 - 21.11.2019 12:30","8676","9028"
"21.11.2019 12:30 - 21.11.2019 12:45","8636","9046"
"21.11.2019 12:45 - 21.11.2019 13:00","8628","8985"
"21.11.2019 13:00 - 21.11.2019 13:15","8648","9070"
"21.11.2019 13:15 - 21.11.2019 13:30","8632","9078"
"21.11.2019 13:30 - 21.11.2019 13:45","8604","9016"
"21.11.2019 13:45 - 21.11.2019 14:00","8572","9002"
"21.11.2019 14:00 - 21.11.2019 14:15","8564","8954"
"21.11.2019 14:15 - 21.11.2019 14:30","8568","8993"
"21.11.2019 14:30 - 21.11.2019 14:45","8572","8969"
"21.11.2019 14:45 - 21.11.2019 15:00","8564","8943"
"21.11.2019 15:00 - 21.11.2019 15:15","8576","9043"
"21.11.2019 15:15 - 21.11.2019 15:30","8592","8994"
"21.11.2019 15:30 - 21.11.2019 15:45","8604","8960"
"21.11.2019 15:45 - 21.11.2019 16:00","8636","9030"
"21.11.2019 16:00 - 21.11.2019 16:15","8680","9108"
"21.11.2019 16:15 - 21.11.2019 16:30","8744","9210"
"21.11.2019 16:30 - 21.11.2019 16:45","8824","9338"
"21.11.2019 16:45 - 21.11.2019 17:00","8916","9428"
"21.11.2019 17:00 - 21.11.2019 17:15","8972","9414"
"21.11.2019 17:15 - 21.11.2019 17:30","9016","9409"
"21.11.2019 17:30 - 21.11.2019 17:45","9028","9420"
"21.11.2019 17:45 - 21.11.2019 18:00","9016","9431"
"21.11.2019 18:00 - 21.11.2019 18:15","8968","9271"
"21.11.2019 18:15 - 21.11.2019 18:30","8916","9211"
"21.11.2019 18:30 - 21.11.2019 18:45","8864","9155"
"21.11.2019 18:45 - 21.11.2019 19:00","8796","9080"
"21.11.2019 19:00 - 21.11.2019 19:15","8616","8816"
"21.11.2019 19:15 - 21.11.2019 19:30","8500","8697"
"21.11.2019 19:30 - 21.11.2019 19:45","8392","8608"
"21.11.2019 19:45 - 21.11.2019 20:00","8264","8474"
"21.11.2019 20:00 - 21.11.2019 20:15","8108","8314"
"21.11.2019 20:15 - 21.11.2019 20:30","7956","8161"
"21.11.2019 20:30 - 21.11.2019 20:45","7820","8064"
"21.11.2019 20:45 - 21.11.2019 21:00","7680","7960"
"21.11.2019 21:00 - 21.11.2019 21:15","7556","7808"
"21.11.2019 21:15 - 21.11.2019 21:30","7412","7659"
"21.11.2019 21:30 - 21.11.2019 21:45","7268","7518"
"21.11.2019 21:45 - 21.11.2019 22:00","7148","7409"
"21.11.2019 22:00 - 21.11.2019 22:15","7276","7503"
"21.11.2019 22:15 - 21.11.2019 22:30","7180","7402"
"21.11.2019 22:30 - 21.11.2019 22:45","7012","7236"
"21.11.2019 22:45 - 21.11.2019 23:00","6868","7125"
"21.11.2019 23:00 - 21.11.2019 23:15","6784","7038"
"21.11.2019 23:15 - 21.11.2019 23:30","6628","6879"
"21.11.2019 23:30 - 21.11.2019 23:45","6488","6726"
"21.11.2019 23:45 - 22.11.2019 00:00","6376","6609"
"22.11.2019 00:00 - 22.11.2019 00:15","6344","6636"
"22.11.2019 00:15 - 22.11.2019 00:30","6240","6486"
"22.11.2019 00:30 - 22.11.2019 00:45","6128","6444"
"22.11.2019 00:45 - 22.11.2019 01:00","6036","6326"
"22.11.2019 01:00 - 22.11.2019 01:15","6032","6264"
"22.11.2019 01:15 - 22.11.2019 01:30","5956","6236"
"22.11.2019 01:30 - 22.11.2019 01:45","5900","6195"
"22.11.2019 01:45 - 22.11.2019 02:00","5844","6098"
"22.11.2019 02:00 - 22.11.2019 02:15","5948","6111"
"22.11.2019 02:15 - 22.11.2019 02:30","5900","6102"
"22.11.2019 02:30 - 22.11.2019 02:45","5856","6076"
"22.11.2019 02:45 - 22.11.2019 03:00","5820","6030"
"22.11.2019 03:00 - 22.11.2019 03:15","5820","6062"
