"Time (CET)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"03.04.2019 17:00 - 03.04.2019 17:15","539","470"
"03.04.2019 17:15 - 03.04.2019 17:30","540","477"
"03.04.2019 17:30 - 03.04.2019 17:45","546","452"
"03.04.2019 17:45 - 03.04.2019 18:00","551","450"
"03.04.2019 18:00 - 03.04.2019 18:15","556","433"
"03.04.2019 18:15 - 03.04.2019 18:30","551","428"
"03.04.2019 18:30 - 03.04.2019 18:45","553","412"
"03.04.2019 18:45 - 03.04.2019 19:00","553","378"
"03.04.2019 19:00 - 03.04.2019 19:15","557","366"
"03.04.2019 19:15 - 03.04.2019 19:30","552","380"
"03.04.2019 19:30 - 03.04.2019 19:45","551","561"
"03.04.2019 19:45 - 03.04.2019 20:00","546","557"
"03.04.2019 20:00 - 03.04.2019 20:15","542","579"
"03.04.2019 20:15 - 03.04.2019 20:30","540","532"
"03.04.2019 20:30 - 03.04.2019 20:45","539","548"
"03.04.2019 20:45 - 03.04.2019 21:00","533","538"
"03.04.2019 21:00 - 03.04.2019 21:15","526","553"
"03.04.2019 21:15 - 03.04.2019 21:30","519","580"
"03.04.2019 21:30 - 03.04.2019 21:45","511","592"
"03.04.2019 21:45 - 03.04.2019 22:00","500","588"
"03.04.2019 22:00 - 03.04.2019 22:15","491","592"
"03.04.2019 22:15 - 03.04.2019 22:30","514","599"
"03.04.2019 22:30 - 03.04.2019 22:45","523","613"
"03.04.2019 22:45 - 03.04.2019 23:00","511","642"
"03.04.2019 23:00 - 03.04.2019 23:15","502","655"
"03.04.2019 23:15 - 03.04.2019 23:30","495","671"
"03.04.2019 23:30 - 03.04.2019 23:45","486","638"
"03.04.2019 23:45 - 04.04.2019 00:00","478","630"
"04.04.2019 00:00 - 04.04.2019 00:15","469","619"
"04.04.2019 00:15 - 04.04.2019 00:30","452","605"
"04.04.2019 00:30 - 04.04.2019 00:45","444","614"
"04.04.2019 00:45 - 04.04.2019 01:00","438","655"
"04.04.2019 01:00 - 04.04.2019 01:15","436","638"
"04.04.2019 01:15 - 04.04.2019 01:30","430","634"
"04.04.2019 01:30 - 04.04.2019 01:45","428","638"
"04.04.2019 01:45 - 04.04.2019 02:00","426","641"
"04.04.2019 02:00 - 04.04.2019 02:15","420","627"
"04.04.2019 02:15 - 04.04.2019 02:30","423","609"
"04.04.2019 02:30 - 04.04.2019 02:45","422","590"
"04.04.2019 02:45 - 04.04.2019 03:00","421","621"
"04.04.2019 03:00 - 04.04.2019 03:15","420","599"
"04.04.2019 03:15 - 04.04.2019 03:30","425","599"
"04.04.2019 03:30 - 04.04.2019 03:45","426","575"
"04.04.2019 03:45 - 04.04.2019 04:00","426","601"
"04.04.2019 04:00 - 04.04.2019 04:15","427","571"
"04.04.2019 04:15 - 04.04.2019 04:30","434","515"
"04.04.2019 04:30 - 04.04.2019 04:45","436","484"
"04.04.2019 04:45 - 04.04.2019 05:00","437","512"
"04.04.2019 05:00 - 04.04.2019 05:15","443","475"
"04.04.2019 05:15 - 04.04.2019 05:30","457","478"
"04.04.2019 05:30 - 04.04.2019 05:45","464","459"
"04.04.2019 05:45 - 04.04.2019 06:00","471","452"
"04.04.2019 06:00 - 04.04.2019 06:15","482","441"
"04.04.2019 06:15 - 04.04.2019 06:30","474","482"
"04.04.2019 06:30 - 04.04.2019 06:45","470","495"
"04.04.2019 06:45 - 04.04.2019 07:00","485","499"
"04.04.2019 07:00 - 04.04.2019 07:15","500","479"
"04.04.2019 07:15 - 04.04.2019 07:30","525","481"
"04.04.2019 07:30 - 04.04.2019 07:45","537","500"
"04.04.2019 07:45 - 04.04.2019 08:00","544","477"
"04.04.2019 08:00 - 04.04.2019 08:15","552","519"
"04.04.2019 08:15 - 04.04.2019 08:30","561","541"
"04.04.2019 08:30 - 04.04.2019 08:45","568","543"
"04.04.2019 08:45 - 04.04.2019 09:00","570","566"
"04.04.2019 09:00 - 04.04.2019 09:15","571","601"
"04.04.2019 09:15 - 04.04.2019 09:30","574","625"
"04.04.2019 09:30 - 04.04.2019 09:45","577","634"
"04.04.2019 09:45 - 04.04.2019 10:00","578","596"
"04.04.2019 10:00 - 04.04.2019 10:15","578","609"
"04.04.2019 10:15 - 04.04.2019 10:30","595","615"
"04.04.2019 10:30 - 04.04.2019 10:45","601","626"
"04.04.2019 10:45 - 04.04.2019 11:00","598","628"
"04.04.2019 11:00 - 04.04.2019 11:15","600","602"
"04.04.2019 11:15 - 04.04.2019 11:30","604","590"
"04.04.2019 11:30 - 04.04.2019 11:45","611","585"
"04.04.2019 11:45 - 04.04.2019 12:00","613","585"
"04.04.2019 12:00 - 04.04.2019 12:15","612","572"
"04.04.2019 12:15 - 04.04.2019 12:30","606","560"
"04.04.2019 12:30 - 04.04.2019 12:45","600","543"
"04.04.2019 12:45 - 04.04.2019 13:00","595","537"
"04.04.2019 13:00 - 04.04.2019 13:15","596","534"
"04.04.2019 13:15 - 04.04.2019 13:30","592","631"
"04.04.2019 13:30 - 04.04.2019 13:45","590","633"
"04.04.2019 13:45 - 04.04.2019 14:00","588","640"
"04.04.2019 14:00 - 04.04.2019 14:15","584","646"
"04.04.2019 14:15 - 04.04.2019 14:30","588","620"
"04.04.2019 14:30 - 04.04.2019 14:45","591","596"
"04.04.2019 14:45 - 04.04.2019 15:00","581","615"
"04.04.2019 15:00 - 04.04.2019 15:15","577","612"
"04.04.2019 15:15 - 04.04.2019 15:30","573","562"
"04.04.2019 15:30 - 04.04.2019 15:45","572","541"
"04.04.2019 15:45 - 04.04.2019 16:00","572","530"
"04.04.2019 16:00 - 04.04.2019 16:15","563","526"
"04.04.2019 16:15 - 04.04.2019 16:30","550","518"
"04.04.2019 16:30 - 04.04.2019 16:45","552","497"
"04.04.2019 16:45 - 04.04.2019 17:00","550","514"
"04.04.2019 17:00 - 04.04.2019 17:15","550","490"
"04.04.2019 17:15 - 04.04.2019 17:30","556","460"
"04.04.2019 17:30 - 04.04.2019 17:45","558","458"
"04.04.2019 17:45 - 04.04.2019 18:00","562","470"
"04.04.2019 18:00 - 04.04.2019 18:15","569","456"
"04.04.2019 18:15 - 04.04.2019 18:30","561","467"
"04.04.2019 18:30 - 04.04.2019 18:45","566","463"
"04.04.2019 18:45 - 04.04.2019 19:00","571","461"
"04.04.2019 19:00 - 04.04.2019 19:15","574","460"
"04.04.2019 19:15 - 04.04.2019 19:30","565","456"
"04.04.2019 19:30 - 04.04.2019 19:45","563","463"
"04.04.2019 19:45 - 04.04.2019 20:00","559","451"
"04.04.2019 20:00 - 04.04.2019 20:15","553","445"
"04.04.2019 20:15 - 04.04.2019 20:30","551","483"
"04.04.2019 20:30 - 04.04.2019 20:45","548","500"
"04.04.2019 20:45 - 04.04.2019 21:00","544","480"
"04.04.2019 21:00 - 04.04.2019 21:15","545","474"
"04.04.2019 21:15 - 04.04.2019 21:30","538","496"
"04.04.2019 21:30 - 04.04.2019 21:45","532","510"
"04.04.2019 21:45 - 04.04.2019 22:00","521","494"
"04.04.2019 22:00 - 04.04.2019 22:15","511","508"
"04.04.2019 22:15 - 04.04.2019 22:30","530","557"
"04.04.2019 22:30 - 04.04.2019 22:45","538","566"
"04.04.2019 22:45 - 04.04.2019 23:00","524","585"
"04.04.2019 23:00 - 04.04.2019 23:15","514","559"
"04.04.2019 23:15 - 04.04.2019 23:30","502","543"
"04.04.2019 23:30 - 04.04.2019 23:45","493","520"
"04.04.2019 23:45 - 05.04.2019 00:00","484","535"
"05.04.2019 00:00 - 05.04.2019 00:15","475","536"
"05.04.2019 00:15 - 05.04.2019 00:30","473","539"
"05.04.2019 00:30 - 05.04.2019 00:45","463","548"
"05.04.2019 00:45 - 05.04.2019 01:00","457","568"
"05.04.2019 01:00 - 05.04.2019 01:15","453","580"
"05.04.2019 01:15 - 05.04.2019 01:30","449","600"
"05.04.2019 01:30 - 05.04.2019 01:45","446","608"
"05.04.2019 01:45 - 05.04.2019 02:00","443","624"
"05.04.2019 02:00 - 05.04.2019 02:15","440","602"
"05.04.2019 02:15 - 05.04.2019 02:30","443","511"
"05.04.2019 02:30 - 05.04.2019 02:45","441","459"
"05.04.2019 02:45 - 05.04.2019 03:00","439","475"
"05.04.2019 03:00 - 05.04.2019 03:15","440","468"
"05.04.2019 03:15 - 05.04.2019 03:30","442","451"
"05.04.2019 03:30 - 05.04.2019 03:45","442","453"
"05.04.2019 03:45 - 05.04.2019 04:00","441","449"
"05.04.2019 04:00 - 05.04.2019 04:15","443","447"
"05.04.2019 04:15 - 05.04.2019 04:30","448","442"
"05.04.2019 04:30 - 05.04.2019 04:45","448","426"
"05.04.2019 04:45 - 05.04.2019 05:00","454","436"
"05.04.2019 05:00 - 05.04.2019 05:15","458","436"
"05.04.2019 05:15 - 05.04.2019 05:30","468","394"
"05.04.2019 05:30 - 05.04.2019 05:45","475","370"
"05.04.2019 05:45 - 05.04.2019 06:00","484","373"
"05.04.2019 06:00 - 05.04.2019 06:15","498","376"
"05.04.2019 06:15 - 05.04.2019 06:30","491","455"
"05.04.2019 06:30 - 05.04.2019 06:45","489","450"
"05.04.2019 06:45 - 05.04.2019 07:00","501","450"
"05.04.2019 07:00 - 05.04.2019 07:15","512","443"
"05.04.2019 07:15 - 05.04.2019 07:30","532","465"
"05.04.2019 07:30 - 05.04.2019 07:45","543","472"
"05.04.2019 07:45 - 05.04.2019 08:00","553","470"
"05.04.2019 08:00 - 05.04.2019 08:15","558","471"
"05.04.2019 08:15 - 05.04.2019 08:30","560","528"
"05.04.2019 08:30 - 05.04.2019 08:45","564","565"
"05.04.2019 08:45 - 05.04.2019 09:00","562","558"
"05.04.2019 09:00 - 05.04.2019 09:15","565","570"
"05.04.2019 09:15 - 05.04.2019 09:30","567","578"
"05.04.2019 09:30 - 05.04.2019 09:45","568","612"
"05.04.2019 09:45 - 05.04.2019 10:00","571","593"
"05.04.2019 10:00 - 05.04.2019 10:15","569","607"
"05.04.2019 10:15 - 05.04.2019 10:30","583","544"
"05.04.2019 10:30 - 05.04.2019 10:45","587","537"
"05.04.2019 10:45 - 05.04.2019 11:00","582","533"
"05.04.2019 11:00 - 05.04.2019 11:15","584","539"
"05.04.2019 11:15 - 05.04.2019 11:30","570","568"
"05.04.2019 11:30 - 05.04.2019 11:45","574","559"
"05.04.2019 11:45 - 05.04.2019 12:00","578","566"
"05.04.2019 12:00 - 05.04.2019 12:15","580","574"
"05.04.2019 12:15 - 05.04.2019 12:30","576","621"
"05.04.2019 12:30 - 05.04.2019 12:45","566","605"
"05.04.2019 12:45 - 05.04.2019 13:00","555","609"
"05.04.2019 13:00 - 05.04.2019 13:15","554","583"
"05.04.2019 13:15 - 05.04.2019 13:30","551","609"
"05.04.2019 13:30 - 05.04.2019 13:45","550","600"
"05.04.2019 13:45 - 05.04.2019 14:00","545","588"
"05.04.2019 14:00 - 05.04.2019 14:15","543","581"
"05.04.2019 14:15 - 05.04.2019 14:30","534","566"
"05.04.2019 14:30 - 05.04.2019 14:45","536","533"
"05.04.2019 14:45 - 05.04.2019 15:00","527","514"
"05.04.2019 15:00 - 05.04.2019 15:15","526","517"
"05.04.2019 15:15 - 05.04.2019 15:30","528","476"
"05.04.2019 15:30 - 05.04.2019 15:45","528","440"
"05.04.2019 15:45 - 05.04.2019 16:00","522","420"
"05.04.2019 16:00 - 05.04.2019 16:15","521","431"
"05.04.2019 16:15 - 05.04.2019 16:30","516","451"
"05.04.2019 16:30 - 05.04.2019 16:45","514","460"
"05.04.2019 16:45 - 05.04.2019 17:00","513","480"
"05.04.2019 17:00 - 05.04.2019 17:15","515","482"
"05.04.2019 17:15 - 05.04.2019 17:30","521","451"
"05.04.2019 17:30 - 05.04.2019 17:45","517","447"
"05.04.2019 17:45 - 05.04.2019 18:00","521","422"
"05.04.2019 18:00 - 05.04.2019 18:15","526","399"
"05.04.2019 18:15 - 05.04.2019 18:30","516","408"
"05.04.2019 18:30 - 05.04.2019 18:45","520","416"
"05.04.2019 18:45 - 05.04.2019 19:00","523","417"
"05.04.2019 19:00 - 05.04.2019 19:15","527","422"
"05.04.2019 19:15 - 05.04.2019 19:30","525","430"
"05.04.2019 19:30 - 05.04.2019 19:45","523","413"
"05.04.2019 19:45 - 05.04.2019 20:00","522","379"
"05.04.2019 20:00 - 05.04.2019 20:15","521","382"
"05.04.2019 20:15 - 05.04.2019 20:30","527","413"
"05.04.2019 20:30 - 05.04.2019 20:45","528","451"
"05.04.2019 20:45 - 05.04.2019 21:00","529","458"
"05.04.2019 21:00 - 05.04.2019 21:15","527","463"
"05.04.2019 21:15 - 05.04.2019 21:30","517","466"
"05.04.2019 21:30 - 05.04.2019 21:45","510","452"
"05.04.2019 21:45 - 05.04.2019 22:00","502","452"
"05.04.2019 22:00 - 05.04.2019 22:15","491","453"
"05.04.2019 22:15 - 05.04.2019 22:30","525","456"
"05.04.2019 22:30 - 05.04.2019 22:45","538","473"
"05.04.2019 22:45 - 05.04.2019 23:00","526","492"
"05.04.2019 23:00 - 05.04.2019 23:15","518","490"
"05.04.2019 23:15 - 05.04.2019 23:30","510","465"
"05.04.2019 23:30 - 05.04.2019 23:45","501","435"
"05.04.2019 23:45 - 06.04.2019 00:00","492","436"
"06.04.2019 00:00 - 06.04.2019 00:15","483","455"
"06.04.2019 00:15 - 06.04.2019 00:30","471","537"
"06.04.2019 00:30 - 06.04.2019 00:45","461","516"
"06.04.2019 00:45 - 06.04.2019 01:00","455","555"
"06.04.2019 01:00 - 06.04.2019 01:15","446","577"
"06.04.2019 01:15 - 06.04.2019 01:30","438","603"
"06.04.2019 01:30 - 06.04.2019 01:45","434","583"
"06.04.2019 01:45 - 06.04.2019 02:00","432","591"
"06.04.2019 02:00 - 06.04.2019 02:15","428","578"
"06.04.2019 02:15 - 06.04.2019 02:30","435","576"
"06.04.2019 02:30 - 06.04.2019 02:45","434","590"
"06.04.2019 02:45 - 06.04.2019 03:00","435","584"
"06.04.2019 03:00 - 06.04.2019 03:15","432","570"
"06.04.2019 03:15 - 06.04.2019 03:30","431","581"
"06.04.2019 03:30 - 06.04.2019 03:45","430","571"
"06.04.2019 03:45 - 06.04.2019 04:00","428","579"
"06.04.2019 04:00 - 06.04.2019 04:15","427","539"
"06.04.2019 04:15 - 06.04.2019 04:30","426","536"
"06.04.2019 04:30 - 06.04.2019 04:45","428","512"
"06.04.2019 04:45 - 06.04.2019 05:00","430","495"
"06.04.2019 05:00 - 06.04.2019 05:15","432","460"
"06.04.2019 05:15 - 06.04.2019 05:30","434","414"
"06.04.2019 05:30 - 06.04.2019 05:45","437","433"
"06.04.2019 05:45 - 06.04.2019 06:00","435","421"
"06.04.2019 06:00 - 06.04.2019 06:15","438","421"
"06.04.2019 06:15 - 06.04.2019 06:30","417","418"
"06.04.2019 06:30 - 06.04.2019 06:45","404","397"
"06.04.2019 06:45 - 06.04.2019 07:00","391","381"
"06.04.2019 07:00 - 06.04.2019 07:15","392","403"
"06.04.2019 07:15 - 06.04.2019 07:30","400","424"
"06.04.2019 07:30 - 06.04.2019 07:45","409","421"
"06.04.2019 07:45 - 06.04.2019 08:00","411","425"
"06.04.2019 08:00 - 06.04.2019 08:15","422","434"
"06.04.2019 08:15 - 06.04.2019 08:30","432","417"
"06.04.2019 08:30 - 06.04.2019 08:45","442","378"
"06.04.2019 08:45 - 06.04.2019 09:00","446","391"
"06.04.2019 09:00 - 06.04.2019 09:15","449","395"
"06.04.2019 09:15 - 06.04.2019 09:30","462","435"
"06.04.2019 09:30 - 06.04.2019 09:45","464","416"
"06.04.2019 09:45 - 06.04.2019 10:00","464","398"
"06.04.2019 10:00 - 06.04.2019 10:15","462","408"
"06.04.2019 10:15 - 06.04.2019 10:30","469","423"
"06.04.2019 10:30 - 06.04.2019 10:45","473","452"
"06.04.2019 10:45 - 06.04.2019 11:00","467","467"
"06.04.2019 11:00 - 06.04.2019 11:15","470","480"
"06.04.2019 11:15 - 06.04.2019 11:30","469","613"
"06.04.2019 11:30 - 06.04.2019 11:45","471","569"
"06.04.2019 11:45 - 06.04.2019 12:00","472","563"
"06.04.2019 12:00 - 06.04.2019 12:15","478","586"
"06.04.2019 12:15 - 06.04.2019 12:30","467","608"
"06.04.2019 12:30 - 06.04.2019 12:45","464","581"
"06.04.2019 12:45 - 06.04.2019 13:00","459","586"
"06.04.2019 13:00 - 06.04.2019 13:15","456","597"
"06.04.2019 13:15 - 06.04.2019 13:30","435","579"
"06.04.2019 13:30 - 06.04.2019 13:45","438","553"
"06.04.2019 13:45 - 06.04.2019 14:00","437","562"
"06.04.2019 14:00 - 06.04.2019 14:15","437","586"
"06.04.2019 14:15 - 06.04.2019 14:30","434","551"
"06.04.2019 14:30 - 06.04.2019 14:45","436","582"
"06.04.2019 14:45 - 06.04.2019 15:00","432","590"
"06.04.2019 15:00 - 06.04.2019 15:15","427","564"
"06.04.2019 15:15 - 06.04.2019 15:30","423","566"
"06.04.2019 15:30 - 06.04.2019 15:45","423","561"
"06.04.2019 15:45 - 06.04.2019 16:00","420","544"
"06.04.2019 16:00 - 06.04.2019 16:15","423","545"
"06.04.2019 16:15 - 06.04.2019 16:30","419","514"
"06.04.2019 16:30 - 06.04.2019 16:45","423","509"
"06.04.2019 16:45 - 06.04.2019 17:00","425","473"
"06.04.2019 17:00 - 06.04.2019 17:15","424","477"
"06.04.2019 17:15 - 06.04.2019 17:30","425","450"
"06.04.2019 17:30 - 06.04.2019 17:45","430","444"
"06.04.2019 17:45 - 06.04.2019 18:00","434","418"
"06.04.2019 18:00 - 06.04.2019 18:15","442","429"
"06.04.2019 18:15 - 06.04.2019 18:30","443","429"
"06.04.2019 18:30 - 06.04.2019 18:45","448","442"
"06.04.2019 18:45 - 06.04.2019 19:00","452","433"
"06.04.2019 19:00 - 06.04.2019 19:15","458","436"
"06.04.2019 19:15 - 06.04.2019 19:30","466","453"
"06.04.2019 19:30 - 06.04.2019 19:45","465","471"
"06.04.2019 19:45 - 06.04.2019 20:00","457","452"
"06.04.2019 20:00 - 06.04.2019 20:15","450","449"
"06.04.2019 20:15 - 06.04.2019 20:30","452","463"
"06.04.2019 20:30 - 06.04.2019 20:45","454","458"
"06.04.2019 20:45 - 06.04.2019 21:00","453","442"
"06.04.2019 21:00 - 06.04.2019 21:15","455","457"
"06.04.2019 21:15 - 06.04.2019 21:30","451","463"
"06.04.2019 21:30 - 06.04.2019 21:45","444","458"
"06.04.2019 21:45 - 06.04.2019 22:00","439","463"
"06.04.2019 22:00 - 06.04.2019 22:15","435","471"
"06.04.2019 22:15 - 06.04.2019 22:30","473","490"
"06.04.2019 22:30 - 06.04.2019 22:45","485","490"
"06.04.2019 22:45 - 06.04.2019 23:00","473","512"
"06.04.2019 23:00 - 06.04.2019 23:15","469","536"
"06.04.2019 23:15 - 06.04.2019 23:30","458","547"
"06.04.2019 23:30 - 06.04.2019 23:45","449","555"
"06.04.2019 23:45 - 07.04.2019 00:00","443","539"
"07.04.2019 00:00 - 07.04.2019 00:15","431","529"
"07.04.2019 00:15 - 07.04.2019 00:30","422","559"
"07.04.2019 00:30 - 07.04.2019 00:45","416","583"
"07.04.2019 00:45 - 07.04.2019 01:00","408","642"
"07.04.2019 01:00 - 07.04.2019 01:15","403","617"
"07.04.2019 01:15 - 07.04.2019 01:30","397","613"
"07.04.2019 01:30 - 07.04.2019 01:45","394","629"
"07.04.2019 01:45 - 07.04.2019 02:00","389","637"
"07.04.2019 02:00 - 07.04.2019 02:15","387","624"
"07.04.2019 02:15 - 07.04.2019 02:30","390","605"
"07.04.2019 02:30 - 07.04.2019 02:45","388","566"
"07.04.2019 02:45 - 07.04.2019 03:00","387","553"
"07.04.2019 03:00 - 07.04.2019 03:15","384","528"
"07.04.2019 03:15 - 07.04.2019 03:30","379","525"
"07.04.2019 03:30 - 07.04.2019 03:45","381","500"
"07.04.2019 03:45 - 07.04.2019 04:00","377","513"
"07.04.2019 04:00 - 07.04.2019 04:15","377","502"
"07.04.2019 04:15 - 07.04.2019 04:30","380","474"
"07.04.2019 04:30 - 07.04.2019 04:45","382","441"
"07.04.2019 04:45 - 07.04.2019 05:00","382","440"
"07.04.2019 05:00 - 07.04.2019 05:15","382","428"
"07.04.2019 05:15 - 07.04.2019 05:30","389","380"
"07.04.2019 05:30 - 07.04.2019 05:45","388","364"
"07.04.2019 05:45 - 07.04.2019 06:00","385","362"
"07.04.2019 06:00 - 07.04.2019 06:15","385","358"
"07.04.2019 06:15 - 07.04.2019 06:30","372","338"
"07.04.2019 06:30 - 07.04.2019 06:45","360","341"
"07.04.2019 06:45 - 07.04.2019 07:00","351","324"
"07.04.2019 07:00 - 07.04.2019 07:15","350","328"
"07.04.2019 07:15 - 07.04.2019 07:30","362","319"
"07.04.2019 07:30 - 07.04.2019 07:45","367","304"
"07.04.2019 07:45 - 07.04.2019 08:00","371","318"
"07.04.2019 08:00 - 07.04.2019 08:15","375","323"
"07.04.2019 08:15 - 07.04.2019 08:30","386","340"
"07.04.2019 08:30 - 07.04.2019 08:45","391","340"
"07.04.2019 08:45 - 07.04.2019 09:00","390","347"
"07.04.2019 09:00 - 07.04.2019 09:15","397","339"
"07.04.2019 09:15 - 07.04.2019 09:30","407","354"
"07.04.2019 09:30 - 07.04.2019 09:45","411","332"
"07.04.2019 09:45 - 07.04.2019 10:00","417","321"
"07.04.2019 10:00 - 07.04.2019 10:15","422","332"
"07.04.2019 10:15 - 07.04.2019 10:30","431","361"
"07.04.2019 10:30 - 07.04.2019 10:45","435","384"
"07.04.2019 10:45 - 07.04.2019 11:00","435","373"
"07.04.2019 11:00 - 07.04.2019 11:15","437","391"
"07.04.2019 11:15 - 07.04.2019 11:30","440","405"
"07.04.2019 11:30 - 07.04.2019 11:45","446","403"
"07.04.2019 11:45 - 07.04.2019 12:00","450","423"
"07.04.2019 12:00 - 07.04.2019 12:15","455","435"
"07.04.2019 12:15 - 07.04.2019 12:30","443","444"
"07.04.2019 12:30 - 07.04.2019 12:45","436","403"
"07.04.2019 12:45 - 07.04.2019 13:00","426","413"
"07.04.2019 13:00 - 07.04.2019 13:15","422","443"
"07.04.2019 13:15 - 07.04.2019 13:30","413","425"
"07.04.2019 13:30 - 07.04.2019 13:45","405","439"
"07.04.2019 13:45 - 07.04.2019 14:00","401","452"
"07.04.2019 14:00 - 07.04.2019 14:15","396","476"
"07.04.2019 14:15 - 07.04.2019 14:30","397","436"
"07.04.2019 14:30 - 07.04.2019 14:45","393","428"
"07.04.2019 14:45 - 07.04.2019 15:00","382","444"
"07.04.2019 15:00 - 07.04.2019 15:15","379","420"
"07.04.2019 15:15 - 07.04.2019 15:30","379","400"
"07.04.2019 15:30 - 07.04.2019 15:45","376","394"
"07.04.2019 15:45 - 07.04.2019 16:00","374","376"
"07.04.2019 16:00 - 07.04.2019 16:15","373","350"
"07.04.2019 16:15 - 07.04.2019 16:30","376","331"
"07.04.2019 16:30 - 07.04.2019 16:45","378","325"
"07.04.2019 16:45 - 07.04.2019 17:00","381","299"
"07.04.2019 17:00 - 07.04.2019 17:15","387","278"
"07.04.2019 17:15 - 07.04.2019 17:30","385","246"
"07.04.2019 17:30 - 07.04.2019 17:45","394","241"
"07.04.2019 17:45 - 07.04.2019 18:00","400","208"
"07.04.2019 18:00 - 07.04.2019 18:15","409","197"
"07.04.2019 18:15 - 07.04.2019 18:30","407","188"
"07.04.2019 18:30 - 07.04.2019 18:45","414","170"
"07.04.2019 18:45 - 07.04.2019 19:00","417","147"
"07.04.2019 19:00 - 07.04.2019 19:15","424","140"
"07.04.2019 19:15 - 07.04.2019 19:30","433","150"
"07.04.2019 19:30 - 07.04.2019 19:45","437","169"
"07.04.2019 19:45 - 07.04.2019 20:00","437","161"
"07.04.2019 20:00 - 07.04.2019 20:15","438","169"
"07.04.2019 20:15 - 07.04.2019 20:30","446","236"
"07.04.2019 20:30 - 07.04.2019 20:45","441","248"
"07.04.2019 20:45 - 07.04.2019 21:00","445","249"
"07.04.2019 21:00 - 07.04.2019 21:15","451","257"
"07.04.2019 21:15 - 07.04.2019 21:30","464","279"
"07.04.2019 21:30 - 07.04.2019 21:45","458","295"
"07.04.2019 21:45 - 07.04.2019 22:00","452","307"
"07.04.2019 22:00 - 07.04.2019 22:15","446","304"
"07.04.2019 22:15 - 07.04.2019 22:30","472","366"
"07.04.2019 22:30 - 07.04.2019 22:45","480","352"
"07.04.2019 22:45 - 07.04.2019 23:00","467","372"
"07.04.2019 23:00 - 07.04.2019 23:15","459","383"
"07.04.2019 23:15 - 07.04.2019 23:30","456","382"
"07.04.2019 23:30 - 07.04.2019 23:45","447","389"
"07.04.2019 23:45 - 08.04.2019 00:00","438","395"
"08.04.2019 00:00 - 08.04.2019 00:15","430","405"
"08.04.2019 00:15 - 08.04.2019 00:30","424","428"
"08.04.2019 00:30 - 08.04.2019 00:45","420","417"
"08.04.2019 00:45 - 08.04.2019 01:00","413","442"
"08.04.2019 01:00 - 08.04.2019 01:15","409","479"
"08.04.2019 01:15 - 08.04.2019 01:30","401","547"
"08.04.2019 01:30 - 08.04.2019 01:45","397","520"
"08.04.2019 01:45 - 08.04.2019 02:00","394","539"
"08.04.2019 02:00 - 08.04.2019 02:15","392","533"
"08.04.2019 02:15 - 08.04.2019 02:30","397","490"
"08.04.2019 02:30 - 08.04.2019 02:45","396","475"
"08.04.2019 02:45 - 08.04.2019 03:00","397","466"
"08.04.2019 03:00 - 08.04.2019 03:15","397","446"
"08.04.2019 03:15 - 08.04.2019 03:30","398","422"
"08.04.2019 03:30 - 08.04.2019 03:45","396","392"
"08.04.2019 03:45 - 08.04.2019 04:00","397","360"
"08.04.2019 04:00 - 08.04.2019 04:15","401","380"
"08.04.2019 04:15 - 08.04.2019 04:30","404","410"
"08.04.2019 04:30 - 08.04.2019 04:45","406","414"
"08.04.2019 04:45 - 08.04.2019 05:00","410","402"
"08.04.2019 05:00 - 08.04.2019 05:15","413","399"
"08.04.2019 05:15 - 08.04.2019 05:30","427","333"
"08.04.2019 05:30 - 08.04.2019 05:45","439","332"
"08.04.2019 05:45 - 08.04.2019 06:00","448","291"
"08.04.2019 06:00 - 08.04.2019 06:15","462","287"
"08.04.2019 06:15 - 08.04.2019 06:30","473","326"
"08.04.2019 06:30 - 08.04.2019 06:45","466","320"
"08.04.2019 06:45 - 08.04.2019 07:00","474","292"
"08.04.2019 07:00 - 08.04.2019 07:15","490","286"
"08.04.2019 07:15 - 08.04.2019 07:30","516","305"
"08.04.2019 07:30 - 08.04.2019 07:45","524","287"
"08.04.2019 07:45 - 08.04.2019 08:00","534","255"
"08.04.2019 08:00 - 08.04.2019 08:15","539","248"
"08.04.2019 08:15 - 08.04.2019 08:30","542","271"
"08.04.2019 08:30 - 08.04.2019 08:45","550","272"
"08.04.2019 08:45 - 08.04.2019 09:00","553","285"
"08.04.2019 09:00 - 08.04.2019 09:15","557","314"
"08.04.2019 09:15 - 08.04.2019 09:30","561","362"
"08.04.2019 09:30 - 08.04.2019 09:45","561","399"
"08.04.2019 09:45 - 08.04.2019 10:00","564","393"
"08.04.2019 10:00 - 08.04.2019 10:15","562","421"
"08.04.2019 10:15 - 08.04.2019 10:30","576","494"
"08.04.2019 10:30 - 08.04.2019 10:45","578","526"
"08.04.2019 10:45 - 08.04.2019 11:00","572","541"
"08.04.2019 11:00 - 08.04.2019 11:15","576","538"
"08.04.2019 11:15 - 08.04.2019 11:30","586","655"
"08.04.2019 11:30 - 08.04.2019 11:45","587","667"
"08.04.2019 11:45 - 08.04.2019 12:00","596","663"
"08.04.2019 12:00 - 08.04.2019 12:15","600","665"
"08.04.2019 12:15 - 08.04.2019 12:30","595","676"
"08.04.2019 12:30 - 08.04.2019 12:45","589","680"
"08.04.2019 12:45 - 08.04.2019 13:00","575","689"
